ID,Gender,Economics_exp,Age,Perceived_purpose1,Perceived_purpose2,condition,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,hypocrisy_5,guilt_1,guilt_2,honest_freq_1,honest_likely_1,honest_extreme_1,committment_honesty_1,moral_1,moral_2,moral_3,moral_standards1,moral_standards2,hypocrisy_1.2,hypocrisy_2.2,hypocrisy_3.2,hypocrisy_4.2,hypocrisy_5.2,guilt_1.2,guilt_2.2,honest_freq_2,honest_likely_2,honest_extreme_2,committment_honesty_2,moral_1.2,moral_2.2,moral_3.2,moral_standards1.2,moral_standards2.2,trustbeh,proclamation,order
15,Male,4,56,See how learning about the past behavior of a player effects current sharing behavior in these games.,To set up a situation where an observed player is disengenious and how that effects sharing behaior in other games with a different participant.,2,3,4,5,4,5,2,4,3,2,2,2,4,4,2,2,6,4,4,6,6,6,2,2,3,2,2,2,4,4,2,2,6,0,absolute,game1
16,Male,0,37,To see if a player would lie in their response to their partner in the game.,To see what decision I would make based on what I knew about the other player.,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,3,3,4,4,4,4,3,7,0,absolute,survey1
17,Male,2,24,To see if people's opinions on lying changed when the lie would produce a good result for all parties,not sure,3,4,4,2,5,6,2,2,4,1,6,2,2,2,2,2,6,4,2,4,5,5,2,2,4,1,6,2,2,2,2,2,6,0,ambiguous,survey1
18,Female,0,29,Deciding whether or not to trust an unknown person's word based on very limited information.,Taking risks by sending money to a stranger for the chance to earn even more money in the end.,4,4,4,1,4,4,2,2,5,4,2,3,3,3,3,4,4,4,4,3,4,4,2,2,5,4,2,3,3,3,3,4,4,0,ambiguous,game1
19,Male,0,23,to show how honest people are in a situation,to show peoples honesty even if it meant taking away from another,2,3,5,4,5,4,4,3,5,4,4,3,3,3,2,4,5,5,6,6,4,5,5,4,5,5,4,4,4,4,3,5,5,0,absolute,game1
20,Female,0,38,trust,not sure,1,3,3,3,3,3,6,6,6,6,5,5,6,6,6,6,6,4,4,4,4,4,5,5,6,6,5,5,4,4,4,5,5,0,absolute,survey1
21,Prefer not to answer,0,26,To find out how participants will respond by relying on chance.,To find out if learning about a game partner affects the outcome.,4,2,4,2,2,2,2,2,5,4,3,2,4,4,4,4,5,2,2,2,2,2,2,2,5,4,2,2,4,4,4,4,5,0,ambiguous,game1
22,Female,2,37,To determine how honest people are in interactions.,To determine how much trust we have in people based upon past actions.,3,3,4,5,5,4,5,3,4,3,2,3,2,2,3,3,5,4,5,4,5,5,3,4,3,2,5,3,2,3,2,3,5,0,ambiguous,survey1
23,Male,3,37,To see if you thought someone's previous honesty would lead you to trust them.,Same thing to see if you would trust someone based off their previous decisions.,1,1,1,1,2,2,6,6,6,6,5,6,6,6,5,6,7,1,2,1,1,1,4,4,6,6,4,7,7,7,6,6,7,0,absolute,survey1
24,Male,0,30,I think it was to see if someone would lie given certain circumstances.,To see if I trusted the other person.,4,1,1,1,1,1,2,2,6,6,6,6,6,6,6,6,7,6,6,6,6,6,2,2,5,4,3,4,4,4,4,4,7,0,ambiguous,game1
25,Female,0,30,"it was to determine if the sender would do their best to make sure the receiver got a reward, even if it meant taking less reward themselves and lying in order to do so.","It was to test the trust of the sender in regards to the receiver, knowing what the receiver did in the coin flip game",1,2,2,2,2,2,7,7,6,6,5,6,5,5,5,6,6,2,2,5,2,2,4,5,6,6,3,4,6,6,6,6,6,1,absolute,survey1
26,Female,1,31,To show us how someone decided with money,To see if we trust someone after seeing how they behaved in a previous study,4,1,1,4,1,1,1,1,6,6,6,7,7,7,7,7,6,1,1,1,1,1,1,1,5,5,4,5,6,6,5,6,7,1,ambiguous,game1
27,Male,2,33,I don't know. ,I don't know. ,3,1,2,2,2,1,1,1,3,2,2,5,6,7,6,3,6,2,2,3,2,2,2,2,3,2,5,6,5,6,5,3,6,1,ambiguous,survey1
28,Male,0,26,To see if someone would lie or truthful about the outcome of a coin flip to another person to maximize their own payoff and the other person's payoff depending on what the Sender's priorities are.,To see if I would trust that same person from the coin flip game to share back money with me if I send $2 to them to be increased to $5.,3,3,3,4,4,4,1,2,5,1,4,5,5,5,3,4,6,1,1,1,4,4,1,1,4,1,3,2,5,5,3,4,6,0,ambiguous,survey1
29,Male,1,25,To find baseline trust of strangers,To test peoples trust when preconceived notions are available.,3,3,3,4,3,3,3,3,3,4,5,5,5,5,5,5,6,3,5,3,3,3,3,3,3,3,5,4,6,6,5,4,6,1,ambiguous,survey1
30,Male,1,33,To see how honest someone would be depending on the outcome and being fair vs lying. ,To see if I would trust their judgment. ,2,5,4,5,5,5,3,3,5,4,3,2,3,3,3,4,4,6,6,6,5,6,2,2,4,3,2,2,2,2,2,2,2,1,absolute,game1
31,Female,1,37,To determine whether people would feel guilty about lying in order to improve the outcome for both participants.,not sure,4,2,6,2,1,2,2,2,7,6,3,6,5,5,5,6,6,2,2,2,2,2,2,2,6,5,3,5,5,5,5,6,6,0,ambiguous,game1
32,Male,2,26,Prisoner's dilemma,To see how respond to unpredictable human behavior,3,3,2,3,3,3,2,2,6,4,3,4,4,4,4,5,6,3,3,3,4,3,3,3,6,4,3,4,4,4,4,5,6,0,ambiguous,survey1
33,Male,2,29,To determine trust in your partners choice to tell the truth,To determine if you trust your partner to do what is fair,1,2,3,3,1,2,7,5,7,6,7,6,6,6,6,7,6,6,6,6,6,6,4,3,4,3,2,3,3,3,2,3,5,0,absolute,survey1
34,Female,0,37,Self perceptions,Self perceptions,4,5,4,4,5,4,1,1,3,2,1,1,1,1,1,3,3,3,3,2,3,4,1,1,2,1,1,1,1,1,1,2,4,0,ambiguous,game1
35,Female,0,30,to see who was honest or if they would help their partner win money instead,not sure,3,4,5,4,4,4,5,5,6,3,2,2,3,4,3,3,4,2,4,6,2,3,5,5,5,3,3,3,5,5,4,5,5,1,ambiguous,survey1
36,Male,3,55,To see how honest a person is and will they do the right thing,To see how trusting someone is of another person based on previous actions,2,2,2,2,2,2,6,6,7,7,6,6,6,6,6,6,6,2,2,2,2,2,2,2,7,7,6,6,6,6,6,6,6,0,absolute,game1
37,Female,0,48,To see if participants would tell the truth,To see if participants would share money,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,4,4,4,4,3,1,2,2,2,2,3,3,0,absolute,survey1
38,Male,2,25,To see if people would lie in order to benefit others and how that action would be judged by a third party. ,To see if people would trust someone after being presented with a choice they made prior. ,4,2,2,2,2,2,2,2,5,4,2,4,5,5,5,5,4,2,2,2,2,2,2,2,5,4,2,4,5,5,5,5,4,1,ambiguous,game1
39,Female,0,36,to see what you would say to convince someone of a choice to make,to see how trusting you are,1,2,2,2,2,2,4,4,6,6,5,4,5,5,5,5,5,2,2,2,2,2,5,5,6,6,5,4,5,5,5,6,6,1,absolute,survey1
40,Female,0,35,"The purpose was to see if people will lie to benefit both parties, or will be honest no matter what.",The purpose was to see if people will trust another player by sending them money after learning their choices in the coin flip game.,4,1,1,1,1,1,1,1,4,4,2,2,6,6,5,4,6,1,1,1,4,1,1,1,3,2,2,3,5,5,4,3,6,0,ambiguous,game1
41,Female,1,26,To determine if people will lie to benefit others.,trust,4,3,3,3,3,3,4,4,6,5,4,4,4,4,4,5,5,3,3,3,3,3,2,2,5,5,3,3,3,3,3,4,4,1,ambiguous,game1
42,Female,5+,40,It is a way of seeing how honest someone is,Another test of a person's honesty,3,4,3,2,4,5,2,2,3,1,2,2,2,2,2,3,2,3,2,2,3,5,1,1,1,1,1,1,2,2,2,2,2,0,ambiguous,survey1
43,Female,0,38,To see how morals count when money is involved.,Morals,4,4,4,4,3,4,3,3,5,3,2,1,2,2,2,3,5,3,3,3,4,4,2,2,5,5,2,2,2,2,2,3,5,0,ambiguous,game1
44,Female,2,30,Determine honesty and people’s thoughts on it. ,Determine honesty and people’s thoughts on it. ,3,4,4,4,4,4,4,4,4,1,4,1,1,1,1,3,7,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,7,0,ambiguous,survey1
45,Female,2,35,It is a study on honesty and ethics.,It is about trust and doing the right thing as a team. ,1,2,3,2,2,2,7,6,7,7,7,6,6,5,5,5,4,6,6,7,5,5,6,6,5,5,2,3,3,3,2,4,5,1,absolute,survey1
46,Male,5+,35,Lying as a moral choice.,Lying as a moral choice.,3,2,2,2,2,2,2,2,4,2,4,2,4,4,4,3,6,2,2,2,2,2,2,2,4,2,2,4,5,5,5,5,7,0,ambiguous,survey1
47,Male,2,32,To understand how willing people are to lie to make money.,To understand how willing people are to trust others in an economic situation.,1,3,3,3,2,4,6,6,7,7,7,7,6,6,6,6,3,7,7,7,7,5,5,5,3,3,2,2,2,2,2,2,4,0,absolute,survey1
48,Female,1,39,The coin flip game is to study trustworthiness and the desire to maximize your winnings.,The choice game is to see if you think the other person would return part of the money.,4,3,3,3,3,3,1,2,5,4,2,3,5,5,5,5,6,1,1,1,2,2,1,1,4,4,2,3,5,4,3,3,6,0,ambiguous,game1
49,Male,1,27,Study malicious actors.,Study malicious actors.,3,4,2,2,4,4,1,1,4,4,3,3,3,3,3,3,5,4,1,1,4,4,1,1,5,4,2,2,2,2,2,3,5,0,ambiguous,survey1
50,Female,2,22,To see if people will lie for their or other's benefit,To see if people trust others with money,2,2,2,2,2,2,3,3,6,4,2,2,4,4,4,4,6,4,5,5,4,2,6,6,7,6,6,4,6,6,6,6,5,0,absolute,game1
51,Male,0,31,To see how two people interact in a scenario where lying will likely result in the most fair outcome.,To see how two people share money.,2,2,2,1,2,2,4,2,6,6,2,4,5,6,6,5,7,3,3,5,2,2,4,3,6,6,2,4,5,6,6,6,6,1,absolute,game1
52,Female,0,33,not sure,not sure,1,4,4,4,4,4,6,6,6,6,3,5,5,5,5,5,4,4,4,4,4,4,4,4,6,6,4,3,5,5,5,5,4,0,absolute,survey1
53,Male,1,56,To see how people would make a monetary decision that affected another,To see how much trust you put in another based on limited information of their past actions,2,2,1,2,1,2,6,6,6,6,5,6,5,5,6,6,5,4,3,5,3,5,3,3,5,4,4,3,3,4,3,3,5,1,absolute,game1
54,Male,1,45,To understand interaction with a partner and decision making.,To understand how people arrive at their decisions.,1,3,2,3,3,2,6,6,7,7,6,7,6,7,5,6,5,6,6,6,5,5,5,5,6,4,4,2,2,3,2,3,5,0,absolute,survey1
55,Female,1,34,To evaluate the honesty of an individual,Whether you can put trust in another person or not and how moral an individual is,3,1,3,2,2,2,5,5,6,5,4,5,5,5,5,6,7,4,6,6,5,5,2,1,3,3,3,2,3,4,3,3,5,1,ambiguous,survey1
56,Male,5+,30,Perceptions about honesty,Attitudes about sharing personality,3,3,2,1,2,2,3,3,4,2,6,5,5,6,5,6,7,2,1,1,2,1,2,2,5,7,5,7,5,4,4,7,7,0,ambiguous,survey1
57,Male,2,30,to understand what people will do and if they will lie fto help others,to understand if people will lie for personal gain,3,4,4,4,4,4,3,3,5,2,3,2,4,4,4,4,5,4,4,3,4,4,1,1,5,2,2,2,4,4,4,4,5,0,ambiguous,survey1
58,Male,1,28,To see if someone would lie to give the other a better payout.,To see if people would share with their partner or keep for themselves and if they would regret their decision. ,1,2,2,4,2,2,6,5,6,6,5,6,6,6,5,6,6,2,5,5,2,2,6,3,6,5,4,5,6,6,5,5,6,1,absolute,survey1
59,Male,0,23,I think the purpose of the coin flip game was to understand peoples decision making after reading a social situation. ,I think the choice game showed how much the person trusted the other individual. ,2,6,5,5,5,5,3,3,4,2,2,2,2,2,2,3,5,6,6,6,5,5,3,3,2,2,2,2,2,2,2,2,3,0,absolute,game1
60,Female,1,63,no idea,still no idea,4,4,3,1,3,4,1,1,3,1,2,1,4,4,2,2,6,2,3,2,3,4,1,1,3,1,2,1,3,3,2,4,6,0,ambiguous,game1
61,Female,1,32,the coming flip was to show how a person who doesn’t know the outcome is influenced by what they are told.,How greedy a person is.,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,2,2,3,1,1,7,7,7,7,7,7,7,7,7,6,6,1,absolute,survey1
62,Male,2,30,see how honest someone was,honesty,3,3,5,4,4,3,5,4,5,5,3,3,3,3,2,3,4,5,3,4,4,5,3,2,5,5,3,2,3,3,2,4,3,0,ambiguous,survey1
63,Female,0,51,A measure of honesty,A measure of greed,4,3,3,4,3,3,3,3,5,2,2,3,4,4,4,4,3,3,4,3,3,3,3,3,5,2,2,3,4,4,4,4,3,0,ambiguous,game1
64,Male,0,27,To see if someone would be disingenous,Same as the coin flip game possibly?,4,4,4,2,6,6,1,2,5,2,1,1,2,2,1,2,6,4,3,4,6,6,2,2,3,3,1,2,1,2,1,2,6,0,ambiguous,game1
65,Male,0,30,To see how honest people would be ,To see how a participant would respond when faced with someone who is dishonest,2,4,5,4,5,5,1,1,6,4,2,1,2,2,2,4,4,5,5,5,5,5,2,2,5,4,3,2,3,3,3,2,4,0,absolute,game1
66,Female,5+,26,to test how we perceive liars and trust ,to test decision making,3,2,2,4,2,2,2,2,5,5,4,4,4,4,4,4,7,4,4,2,2,2,1,1,4,2,1,2,3,3,3,2,6,0,ambiguous,survey1
67,Male,2,49,testing for integrity and caring for others ,integrity test,2,2,6,2,2,2,2,2,6,6,5,6,6,6,6,6,6,1,6,6,1,1,2,4,7,7,7,7,7,7,7,7,6,1,absolute,game1
68,Female,0,41,To see if a sender will tell the truth or lie about the results of a random coin toss to the receiver in order to maximize their profits (sender profits $.25 more if receiver is correct about the actual result),"To see if player 1 chooses to keep $2 versus give away the $2 in efforts to increase earning by $.50. This gamble risks losing all money, however.",1,3,3,4,3,3,5,5,6,6,5,4,5,5,5,6,5,5,6,6,5,5,2,3,5,4,3,2,2,2,2,2,2,0,absolute,survey1
69,Female,0,24,"To get an understanding of the person, if they're honest or not",To see what I would do in the coin game knowing very little information on the other participant. Whether I would trust them to pass halfback or not.,3,2,3,3,2,3,5,5,6,4,3,5,5,5,5,5,6,3,5,3,5,4,6,6,5,4,3,5,5,5,5,5,6,1,ambiguous,survey1
70,Female,4,34,no idea,no idea,1,3,3,4,4,4,4,4,6,5,6,5,5,5,5,5,5,5,5,5,5,4,4,4,5,2,3,3,4,3,4,4,4,0,absolute,survey1
71,Male,1,28,I don't know. honesty,I don't know. honesty,1,4,2,2,3,4,6,5,6,6,6,6,5,6,6,5,6,4,6,6,5,4,5,5,5,5,2,5,4,4,5,4,4,0,absolute,survey1
72,Male,3,25,To benefit the sender. ,"Choice game based upon shared compensation, all or nothing",3,5,3,4,2,6,4,6,2,2,3,2,3,3,3,4,6,3,4,5,4,5,6,5,2,4,2,4,4,4,4,4,6,1,ambiguous,survey1
73,Male,0,69,how people behave towards others,how people cooperate with total strangers they have not known do not know and never will know,4,2,2,2,2,2,1,1,4,1,2,5,5,5,5,4,5,2,2,2,2,2,1,1,4,1,2,4,5,4,5,4,5,0,ambiguous,game1
74,Female,1,37,ECONOMY GAME AND CHEATING,MORALITY OF PLAYERS,4,5,3,4,6,6,2,2,3,2,6,4,5,5,5,2,3,5,2,1,6,6,2,2,5,2,3,2,4,4,4,3,5,0,ambiguous,game1
75,Male,1,45,To see ones decision and if their decision can be swayed if they know that their action could benefit both people or the other.,To see my reaction after I knew the other player took the favor of the odd (even though he lied) to make sure we both benefitted.,1,4,6,4,6,4,6,6,7,6,6,7,6,6,5,7,6,1,6,4,2,2,7,2,7,7,6,6,6,7,7,7,7,1,absolute,survey1
76,Female,2,43,unsure,to see if you trusted player,2,2,6,5,3,5,2,2,4,2,3,2,2,2,1,3,3,2,2,2,3,3,3,3,5,3,4,4,4,5,4,4,5,1,absolute,game1
77,Female,0,26,No idea.,Noidea,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,6,5,6,6,6,6,2,2,2,1,2,2,2,2,2,2,2,0,ambiguous,survey1
78,Female,0,33,seeing how giving people can be,kindness,1,1,1,1,1,1,7,7,7,7,7,7,6,6,6,7,7,1,1,6,1,1,6,6,7,6,4,4,7,7,7,4,4,1,absolute,survey1
79,Male,1,30,To study trust and honesty on a personal level,to study charitable choices,4,4,4,4,4,4,1,1,5,5,2,3,4,4,4,4,6,1,7,1,1,1,3,3,3,3,3,7,6,6,6,5,6,0,ambiguous,game1
80,Male,1,28,To test peoples thoughts on how games work,To test if people will read instructions to a stupid game,2,3,4,4,3,3,4,4,6,6,3,3,5,5,4,4,5,3,4,4,3,3,4,4,6,2,6,4,4,4,4,5,5,0,absolute,game1
81,Male,0,37,"to form opinions, identify levels of morality, and create trust or distrust in  strangers",to test  impressions that were previously formed about the partner ,4,1,1,1,1,1,1,1,6,6,6,6,7,7,7,6,7,2,2,2,2,2,2,2,6,6,5,6,7,7,7,6,7,1,ambiguous,game1
82,Female,1,54,no idea,no idea,4,4,4,4,4,4,4,4,4,3,2,3,4,4,4,4,5,4,4,4,4,4,3,3,5,3,2,5,4,4,4,4,4,0,ambiguous,game1
83,Male,0,49,To see how a person reacts to a situation. ,To see how a person will decide what to do in the situation. ,4,2,2,2,6,2,3,3,4,3,2,2,5,4,3,5,6,2,3,2,2,2,2,2,4,3,2,2,4,4,3,5,5,1,ambiguous,game1
84,Male,5+,32,Seeing if the person is willing to lie in order to benefit the other person in the game.,Seeing if the participant is willing to trust their partner,3,2,2,1,2,2,4,4,6,5,2,2,2,2,2,4,4,2,1,1,2,2,2,2,6,3,1,1,3,3,3,3,4,0,ambiguous,survey1
85,Male,1,27,"who cares, underpaid trash survey","who cares, underpaid trash survey",2,2,2,2,2,2,1,1,7,7,2,1,2,2,2,1,1,2,2,3,2,3,1,1,6,6,1,2,2,2,2,2,2,0,absolute,game1
86,Female,1,55,"To determine if without exterior motivation, a person will act in another's interest instead of their own for a small loss",To see if a participant with little other information about another person will take a risk on this other's good will after reading messaging that indicates the other might not be altruistic.,4,2,2,4,2,2,2,2,6,5,2,3,5,6,5,7,6,2,2,2,2,2,2,2,5,5,2,3,5,5,4,5,5,1,ambiguous,game1
87,Male,0,42,To understand how people trust each other,To understand how people trust each other,4,2,2,2,2,2,3,3,6,6,5,5,5,5,5,5,6,5,2,2,2,5,2,2,3,2,2,2,2,2,2,2,5,0,ambiguous,game1
88,Male,0,64,To gauge the relative honsty of the Receiver.,It was a matter of trust. Trust in the honesty of Player 2 to return half of the money.,3,2,2,2,2,2,4,4,6,5,5,5,5,5,5,4,6,6,6,6,6,6,2,2,2,2,1,1,1,1,1,2,2,0,ambiguous,survey1
89,Female,1,53,to see if people would like to make the outcome better,to see if people would choose to split a reward so both parties get equal.,4,2,3,4,2,4,2,2,5,3,4,3,5,5,4,5,7,2,2,2,2,2,5,3,6,5,5,4,6,6,5,6,6,1,ambiguous,game1
90,Male,0,69,To create a morally difficult decision. ,To test the player's trust of others. ,1,2,4,4,2,2,6,6,7,6,6,6,5,5,5,6,5,2,2,5,2,2,2,2,6,6,4,6,5,5,5,6,6,0,absolute,survey1
91,Male,2,56,To judge how actions are perceived as moral or ethical in conflicts of values,To see how trust is affected by other participants past choices,4,3,4,3,3,3,5,5,6,5,3,4,6,6,6,6,5,3,3,2,3,3,3,3,5,5,3,4,5,5,6,5,6,1,ambiguous,game1
92,Female,0,36,check people's ethics,no clue,3,4,4,4,4,4,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,3,4,4,4,4,4,1,ambiguous,survey1
93,Female,1,50,if people will lie to benefit themselves,if people trust others to give back half the money,4,3,3,5,4,4,4,4,6,5,3,4,4,4,4,4,4,3,3,3,3,4,2,2,4,3,2,2,2,2,2,4,4,0,ambiguous,game1
94,Female,0,39,Testing honesty,Testing sharing,1,3,3,2,3,3,6,6,6,6,2,6,4,5,6,6,6,3,5,6,6,6,3,2,2,2,2,2,1,3,1,3,5,0,absolute,survey1
95,Female,0,38,To test whether or not a person would lie so another person could share in a reward.,To test whether or not someone trusted another person to split money fairly.,4,3,3,4,3,3,3,3,5,5,3,4,4,4,4,5,6,3,3,2,3,3,3,3,5,5,2,4,4,4,4,5,6,1,ambiguous,game1
96,Female,1,28,to judge a person's honesty,to see if a person trust another person,4,3,3,3,2,2,3,3,4,4,2,3,3,3,4,3,6,3,3,3,3,3,2,2,4,3,2,2,4,4,5,3,6,1,ambiguous,game1
97,Male,0,53,To determine if someone would lie for the benefit of another,I have no idea,3,3,2,4,3,3,6,5,5,4,5,2,4,5,4,3,5,1,2,2,2,2,1,1,5,3,2,3,7,5,5,5,6,1,ambiguous,survey1
98,Female,0,41,To show whether or not the participant would be helpful to his/her partner in the game.,To see if people would risk their guaranteed money with someone who has proven to lie on occasion?,4,2,3,6,1,2,1,2,5,4,3,4,5,6,4,6,6,1,2,4,1,2,2,1,5,4,2,4,4,5,5,4,7,0,ambiguous,game1
99,Female,2,51,To see if a player would share with the second player and if second player would send any back.,To see if we would trust someone based on their own survey and based on their choices in a previous game.,2,3,3,4,3,3,2,2,3,3,1,3,3,4,3,3,5,5,6,7,3,5,6,6,6,3,3,4,4,4,3,5,6,1,absolute,game1
100,Female,0,20,To see what I would do,To see if i would share,2,4,4,5,4,4,4,4,5,4,4,2,3,4,2,4,4,4,4,4,3,5,4,5,5,6,3,3,3,3,3,5,5,0,absolute,game1
101,Male,1,32,To see if the chance of monetary gain affects people's honesty,To see how likely people are to share when money is involved,1,4,4,4,3,3,6,5,7,7,7,7,5,5,6,6,5,4,6,6,5,3,5,3,6,5,4,3,4,4,5,4,5,0,absolute,survey1
102,Female,2,49,judgement on honesty,honesty,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,4,5,2,2,2,2,2,3,3,6,6,5,5,5,5,4,5,5,0,absolute,survey1
103,Male,1,38,To check honesty and see if someone is willing to lie for the greater good.,To see if people will trust other people.,1,2,2,2,2,2,7,6,7,7,6,6,4,4,4,4,5,6,5,6,5,5,3,3,5,5,5,4,4,4,4,4,5,0,absolute,survey1
104,Female,0,29,The purpose was to see the outcome of the coin flip game. ,The purpose was that to see if your partner would give you any money back. ,1,1,1,1,1,1,1,1,7,7,1,6,6,6,6,7,7,1,1,7,1,1,1,1,7,7,1,7,7,7,7,7,7,1,absolute,survey1
105,Male,0,50,Studying how people will react to the circumstances. ,"The same, studying how people will act under these circumstances. ",4,1,2,2,1,3,1,1,5,1,2,4,5,5,5,4,6,1,1,1,1,2,1,1,4,1,2,4,5,5,5,5,6,1,ambiguous,game1
106,Male,2,1976,To determine honesty among strangers,To determine honesty among strangers,3,2,2,1,1,1,3,3,5,2,4,3,3,3,3,2,5,2,2,6,2,2,1,1,2,1,1,1,2,2,2,1,6,0,ambiguous,survey1
107,Male,0,40,50/50 chance landing heads or tails for a possible payoff. Trust.,"Send/Recive, trusting the other player to return a fair amount if you send.",2,2,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,1,absolute,game1
108,Female,1,38,comprehension -dunno,trust -dunno,3,1,1,1,1,1,3,3,6,2,3,5,6,6,6,4,5,1,1,1,1,1,2,2,6,2,4,5,5,5,5,5,5,1,ambiguous,survey1
109,Female,0,54,To see if we would be honest,I don't know,1,2,2,4,2,2,6,6,7,6,7,7,6,6,6,6,6,5,6,6,6,5,3,5,5,4,2,3,5,5,3,4,4,0,absolute,survey1
110,Female,0,49,To test people's honesty.,To see if someone trusts another person.,3,2,4,4,3,2,3,3,5,3,4,3,4,4,4,4,5,2,5,2,2,2,2,2,4,3,5,3,4,4,4,4,6,1,ambiguous,survey1
111,Female,0,38,Honesty of people when they cant be caught lying,Trust in people we dont now based on general human belief that society is good or bad,4,1,4,4,1,1,1,1,5,2,4,4,5,5,5,5,5,1,3,4,1,1,1,1,5,2,5,4,4,4,4,4,5,1,ambiguous,game1
112,Male,2,34,Determine if people will lie,See if we trust other people,1,2,3,3,2,2,6,7,6,6,6,6,6,7,7,7,5,1,2,2,1,1,6,7,6,6,6,6,6,6,7,7,6,0,absolute,survey1
113,Female,1,65,So we could determine if the player actually lived up to their answer about lying,To study whether people would trust the other player after learning limited information about them,1,2,2,2,2,2,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,2,2,4,4,2,2,2,2,1,2,2,0,absolute,survey1
