ID,Politican_Similarity,Gender,Age,Affiliation,Study Purpose,Attention Check 1,Attention Check 2,Condition,Proclamation,Perspective,Frame,Voting,Hypocrisy_1,Hypocrisy_2,Hypocrisy_3,Hypocrisy_4,Hypocrisy_5,Honest_frequency,Honest_likelihood,Honest_extreme,Honest_committment,Moral_1,Moral_2,Moral_3
18,"probably, but none specifically come to mind",Male,29,Democrat,determining how people view honesty,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,3,3,3,4,5,2,4,2,3,2,2,3,2
19,no,Female,38,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,3,5,5,5,5,5,4,2,2,3,4,4,4
21,No,Female,26,Other,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,4,5,5,5,4,5,4,4,5,3,4,5,4
22,All of them lie. ,Female,29,Democrat,To see how we feel about a politician who lies. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,2,4,5,7,5,3,3,2,1,2,2,2,2
23,Trump,Male,49,Democrat,to see how a person feels about a candidate that blatantly lies and says he is going to do so. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,2,7,3,5,6,2,2,1,2,1,2,2,2
24,yes,Male,65,Republican,ethics and judgments,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,2,5,5,5,5,5,4,4,2,2,2,2,2
25,Yes,Male,28,Democrat,How data points can skew how you view candidates. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,2,6,6,6,6,6,3,2,4,2,2,2,2
26,nope,Female,34,Republican,morals,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,3,6,6,5,6,7,5,4,3,2,3,4,3
27,No,Female,27,Other,To see how politicians are evaluated,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,3,5,5,5,5,7,4,3,2,2,3,3,2
28,all of the hypocritical pearl-clutching republican politicians that don't care about anyone but themselves and their pockets,Female,27,Democrat,To see how focused people would be on the lying aspect and how bad they thought it was?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,7,6,6,6,6,1,1,1,1,1,1,2
29,Trump,Female,26,Democrat,To see if dishonest politicians affects our view of them,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,3,7,7,6,7,7,4,2,7,1,2,2,2
30,most of them,Female,40,Democrat,I'm not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,3,4,5,5,5,5,5,4,3,2,3,3,3
31,Almost all politicians.  ,Male,41,Other,To judge people's willingness to accept lies from politicians and how it affects their image.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,2,7,7,7,7,7,3,2,2,1,1,3,1
32,every politician,Male,31,Democrat,perception of hypocrysy,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",7,ambiguous,general,lie,4,5,6,5,5,6,4,3,2,2,2,2,3
33,"Not any one specific politician, but I know I've read similar stories in the news. ",Female,37,Democrat,perception of a candidate ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",7,ambiguous,general,lie,2,4,3,3,5,6,4,2,3,2,3,3,2
34,More than I could name,Female,31,Democrat,To see how we felt about someone who admitted to lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,2,5,5,5,5,5,5,3,2,2,2,2,2
35,All of them. ,Male,28,Other,To see how disingenuity influenced decision making in the voting pool. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,3,6,7,4,7,7,4,4,5,3,3,3,2
36,most of them,Female,37,Democrat,To see how known lying changes a voters percetion,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,3,6,2,6,6,6,3,2,6,1,2,2,2
37,Hilldog,Male,21,Democrat,Personal judgements of a political candidate who has been caught in a lie,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,4,2,5,4,3,4,6,1,2,3,4,3,4
38,all of them,Male,47,Other,pennies,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,1,7,1,1,1,1,1,1,1,1,1,1,4
39,Damn near all of them. Nancy Pelosi was the first of many that came to mind. ,Male,39,Republican,To see how voters view the moral ambiguity of politicians. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,5,6,6,5,5,6,3,2,7,3,3,3,3
40,"Obama, Clinton",Female,35,Republican,I am unsure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,5,6,3,4,6,4,3,1,2,2,2,2,2
42,Barack Obama,Male,37,Republican,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,2,6,2,6,6,5,3,1,2,2,1,1,1
43,Trump,Female,53,Democrat,To view responses to candidates statements and actions. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,2,6,7,6,6,7,3,2,2,4,5,5,5
44,"Trump, Scott Walker, and many others.",Female,32,Democrat,To see how people feel to hear a politician actually admit to lying and how that would affect if they voted for them or not.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",8,ambiguous,I,lie,2,2,2,2,2,2,3,2,2,2,2,2,2
45,"Hes a politician, they all lie ",Female,43,Republican,my perceptions on his deceptions,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,4,4,4,3,3,4,6,4,3,5,4,4,4
46,Pretty much all of them.,Female,37,Other,To determine views on politicians and honesty. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,2,6,6,6,6,6,2,2,2,2,2,2,2
47,Actually a lot of them lie.,Female,57,Democrat,to see if people will vote for candidates that lie to serve the candidate's best interests,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,5,6,3,6,4,3,3,1,2,2,2,2,2
49,No ,Male,27,Republican,Understanding our views on lying in politics ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",8,ambiguous,I,lie,5,2,2,6,6,2,4,2,3,1,2,2,3
50,no,Female,29,Republican,To see if we think a little lie is as bad as a big one. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,5,5,5,4,4,6,5,3,1,4,3,3,3
51,Very Trump-like,Male,41,Democrat,I'm not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,2,6,6,6,6,7,4,2,2,2,2,3,2
52,"Only most of them. Never trust a politician who tries to take the moral high ground and virtue signal. It just means their skeletons are buried deeper, and are a lot uglier.",Male,35,Other,Gauging views on a generic and typical politician?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,2,6,6,6,4,6,2,2,2,1,2,2,2
53,No,Female,21,Democrat,perceptions of lying in politics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",8,ambiguous,I,lie,2,5,5,5,5,6,4,4,2,2,2,2,2
54,Nothing specific but it fits a general profile of politicians,Male,47,Republican,See how much I trusted his interview compared to the 3rd party information.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,2,6,6,6,6,6,4,4,3,2,3,3,2
55,All of them,Female,39,Democrat,Assess the impact that campaign money sources and canditate's honesty have on one's willingness to vote for a candidate.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,3,5,5,5,7,3,3,2,3,2,3,3,2
57,All politicians,Male,25,Other,To study how people view politicians with provided information.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,1,7,7,7,7,7,4,1,1,1,1,1,1
59,Donald Trump,Male,55,Republican,Not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,3,5,6,6,5,6,5,3,4,2,3,4,2
62,no,Female,45,Republican,To see how much people care about a politician's level of honesty,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,1,6,6,6,6,6,2,1,3,1,1,1,1
63,no,Male,27,Republican,judgements,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,5,4,4,3,5,4,4,3,4,5,5,5,5
65,All of them,Female,39,Republican,No idea,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,3,4,4,6,6,4,2,1,2,1,1,1,1
66,"All of them, no one in politics is honest, whether you like them or not. ",Female,27,Other,See how willing people are to overlook dishonesty when the candidate belongs to their party?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,3,6,6,6,6,6,3,1,3,3,3,3,2
67,"democrats i guess, with the focus on education",Male,47,Democrat,lying and it's effects on perception,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,3,6,4,6,6,6,4,1,2,1,2,2,2
68,kevin Stitt,Female,29,Democrat,measure how people feel about political lying with obvious evidence available,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,1,4,7,7,7,7,2,1,1,1,1,1,1
69,None I can think of,Female,40,Republican,I'm not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",8,ambiguous,I,lie,3,2,3,3,3,2,5,1,4,3,4,2,3
70,"Donald Trump, Mitch McConnell, Paul Ryan ",Male,21,Democrat,Understanding how much the truth impacts the publics view of politicians. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,2,6,6,5,6,7,3,1,2,2,3,3,2
71,Donald Trump,Female,32,Democrat,To see if I value honesty in public figures.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,5,6,6,6,6,3,2,2,2,3,3,3
72,no,Male,27,Democrat,I'm guessing the purpose was to see how certain factors affected our decisions to support or not support politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,4,6,6,6,5,7,4,2,3,3,5,3,4
73,all of them,Male,34,Democrat,moral judgement,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,2,6,7,5,4,4,3,2,4,1,4,4,4
74,Not really because he admitted that he lies sometimes,Male,45,Democrat,Don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,3,2,2,3,5,1,5,2,3,1,2,2,2
75,all of them,Female,34,Other,To see if people would still vote for someone after we learned that they lied about something. I think that history is proof of that because they all lie about something at some point.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,3,5,4,2,2,2,4,2,2,2,4,4,4
76,No,Female,27,Republican,Good vs evil,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,3,3,5,5,4,3,5,2,4,2,2,3,2
77,no,Female,29,Democrat,unsure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,4,5,5,3,4,5,3,2,3,4,3,3,3
79,no,Female,59,Democrat,views of candidates behaviors,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,6,5,6,2,5,6,4,2,6,5,5,5,5
80,super hero ,Male,48,Republican,intresting this survey,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,5,6,6,5,5,6,4,3,5,5,5,5,6
81,yes,Male,51,Other,I really don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,2,6,6,6,6,6,4,2,2,2,2,2,2
82,Trump,Female,38,Democrat,To see how people view politicians who lie.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,2,7,7,7,7,7,4,1,5,1,1,1,1
83,Donald Trump,Male,35,Democrat,If we'd vote for an admitted liar if he were part of our party.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,1,6,2,7,7,2,2,1,1,1,1,1,1
84,no,Female,56,Republican,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,2,5,5,5,5,5,3,3,5,5,2,2,2
85,Trump,Female,33,Republican,To see if we paid attention to detail and picked up on his comment that it's not imperative to tell the truth. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,2,5,3,6,6,3,2,2,4,1,2,2,2
86,no,Female,32,Democrat,Judging politicians on their behaviors.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",8,ambiguous,I,lie,5,5,6,6,4,6,4,3,4,2,3,3,4
87,"Phil Murphy, NJ Governor",Female,33,Democrat,"I'm not sure,  maybe to see how much lying and hypocrisy is tolerated by Americans. ",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,3,6,7,7,6,7,3,5,3,2,2,3,2
88,None that I can think of.  Or all of them.  Maybe Donald Trump.,Male,34,Democrat,How we feel about politicians being hypocritical.  ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,3,6,6,6,6,6,5,3,4,2,3,4,2
89,Hilary Clinton ,Female,42,Other,I think this study was trying so how I would judge a person off of what they say and what the facts show. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,2,5,4,6,5,5,5,2,4,3,3,3,2
90,Yes,Female,69,Republican,I do not know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,1,7,3,6,7,7,2,1,2,2,2,2,2
91,Donald Trump,Female,49,Republican,If you can believe politicians. They all extent the truth just a little bit to get peoples votes. To be honest I would probably vote for Johnson   ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,5,3,3,3,3,3,7,5,3,5,6,6,5
93,NOT REALLY. HE SEEMED CONFUSED IN HIS ANSWERS AND DID NOT STAY ON TOPIC VERY MUCH. TRUMP I GUESS,Female,43,Democrat,WHETHER OR NOT I WOULD CONTINUE TO SUPPORT THE CANDIDATE OF MY PARTY EVEN AFTER I FOUND OUT HE WAS A LIAR,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,1,6,4,6,4,4,3,1,1,2,2,2,2
94,"None in particular, but most of Congress as a whole.",Male,27,Other,To determine how people react to honesty and dishonesty in their local politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,2,7,7,7,7,7,2,2,6,1,1,1,1
95,no,Female,42,Democrat,don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,3,6,6,5,5,5,4,3,5,2,3,4,3
96,nancy pelosi,Female,33,Republican,to see how much people cared about politicians lying.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,1,7,7,7,7,7,1,1,1,1,1,1,1
97,No,Female,58,Democrat,To gauge our perceptions of politicians and how they perceive honesty,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,1,6,6,6,6,6,3,1,6,2,2,2,2
99,no,Female,28,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,4,4,4,4,4,4,4,5,3,3,3,3,3
100,Donald Trump,Male,25,Democrat,Perception on politician scenario,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,5,5,5,5,5,1,1,1,2,2,2,2
101,most of them,Male,56,Other,who knows?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,3,5,6,6,6,6,5,4,3,2,3,3,2
102,no,Male,32,Democrat,To see how i feel about politicians lying.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",7,ambiguous,general,lie,1,2,2,4,4,2,4,1,2,1,1,1,1
103,Donald Trump,Female,55,Democrat,People's views of politicians who lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,1,7,7,6,7,6,1,1,6,1,1,1,1
104,I think all politicians lie to some degree.,Female,30,Republican,I think the purpose of the study was to see how people respond to finding out through proof that their politician was lying.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,2,7,7,7,7,7,4,3,2,1,2,2,1
105,"yes, Donald Trump",Male,42,Other,perception,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,1,7,7,7,6,7,1,1,1,1,1,1,1
106,Beto O'Rourke,Male,58,Democrat,How hypocritical we voters can be.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,4,6,6,6,6,6,6,4,2,3,3,3,3
107,most of them,Female,60,Republican,no idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,2,6,6,6,6,6,2,1,4,2,2,2,2
108,No,Female,41,Democrat,How seriously we took dishonesty in a politician ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,2,2,2,6,2,4,1,2,2,3,3,2
109,"Perhaps, Donald Trump",Male,22,Democrat,To evaluate our perception of a politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,absolute,general,truth,3,3,4,3,2,3,5,5,3,4,4,3,3
110,"Yes, Donald Trump",Female,35,Democrat,See how we feel about a lying politician.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,2,4,5,5,6,5,4,2,2,1,2,2,2
111,Yes.,Male,29,Republican,To better understand how people perceive politician's questionable behavior.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,2,5,4,6,6,3,4,2,3,1,3,3,2
112,NO JUST ALL OF THEM,Female,38,Republican,TO SEE HOW SUFFER THE STORY WAS GOING TO CHANGE MY MIND OR NOT.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,2,7,7,7,7,7,2,1,4,1,2,2,2
113,Paul Ryan,Male,34,Democrat,Bernie or Bust Boys!,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,1,7,7,7,7,7,5,2,6,1,2,2,2
114,Donald Trump,Female,45,Democrat,do not know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,2,7,6,6,6,6,2,2,1,1,2,2,2
115,The vast majority of them.,Male,39,Republican,To see if the general public cares about the empty rhetoric of many politicians or if they have accepted that most politicians lie in some way to get elected.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,5,4,6,3,3,7,4,2,6,4,4,5,4
116,All of them,Male,48,Republican,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,6,5,5,5,5,5,3,3,3,4,5,5,5
117,no,Female,36,Republican,To see how people feel about politicians and honesty,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,4,5,5,4,4,6,5,2,2,3,3,2,3
119,The President ,Female,32,Democrat,politicians ethics and morals,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,6,5,3,3,3,4,2,2,2,2,2,2
120,No one specifically. ,Female,49,Republican,Judging the honesty of a politician.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,1,7,4,7,7,7,4,1,2,1,1,1,1
121,Most of them,Female,37,Democrat,Political science,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,5,4,5,6,5,4,2,7,2,2,2,2
122,No,Female,31,Republican,To see how much we trust a politician that we know who lies.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,1,6,6,6,6,6,2,1,2,1,1,1,1
123,Donald Trump,Female,22,Democrat,To see how an audience will judge a candidate based on non-reliable resources.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,1,7,7,4,7,7,2,1,1,1,1,1,1
124,Every politician I can think of.,Male,35,Republican,Perceptions of political honesty.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,you,lie,2,6,5,5,6,6,4,3,4,3,3,2,3
125,Most of them!,Male,36,Other,Politician telling the truth about lying sometimes,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",12,ambiguous,you,truth,1,2,6,3,3,2,2,1,3,1,2,2,2
126,not really,Female,30,Democrat,political judgment and interview,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,6,5,4,6,6,5,5,2,4,5,5,6,5
127,most of them,Female,67,Republican,do politicians lie,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",6,absolute,you,truth,2,5,6,6,4,6,4,3,2,2,2,2,2
129,yes ,Female,38,Republican,good survey,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,6,6,7,5,6,5,2,2,6,5,6,7,6
131,"Not one in particular, most politicians are liars.",Male,41,Democrat,Gauge support for someone who lies.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,general,lie,2,5,7,7,6,7,4,2,2,2,1,4,2
133,No,Female,26,Other,To understand party loyalty,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",11,ambiguous,I,truth,2,6,6,6,6,6,2,2,2,2,3,2,3
134,"Nope, just the general parade of random politicians caught in lies.",Male,39,Democrat,"To see how a politician is judged based on their lying, and if that effects your otherwise positive view of them?",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,2,6,6,6,6,6,2,2,6,2,4,4,3
135,Most of them.,Female,45,Democrat,"To gauge the effect of released information vs, the claims of politicians when making decisions.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,absolute,I,lie,3,5,6,5,5,6,5,2,2,3,3,3,2
136,Clinton,Female,57,Democrat,Political moral perceptions,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",9,ambiguous,you,lie,2,6,4,5,6,6,2,2,1,1,2,3,2
137,Not really.,Male,28,Democrat,To judge a potential candidate for a state office position.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",5,absolute,I,truth,4,3,5,3,4,1,6,5,3,5,5,3,4
138,no,Female,24,Democrat,idk,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",8,ambiguous,I,lie,1,5,5,7,7,2,3,1,2,1,1,1,1
139,All liberals,Female,38,Republican,Perceptions of cadidate values,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",7,ambiguous,general,lie,2,3,3,3,4,2,3,2,4,3,3,4,4
141,Most!,Male,50,Other,"I can't really say, but I'm certainly curious.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",10,ambiguous,general,truth,1,6,6,5,6,4,1,1,2,1,3,2,2
