ID,StartDate,EndDate,Gender,Economics_exp,Age,Perceived_purpose,condition,hypocrisy_1,hypocrisy_2,hypocrisy_3,discomfort_1,benevolence_1,benevolence_2,benevolence_3,honest,moral_1,moral_2,trust,proclamation,lie.motives
23,9/5/18 15:05,9/5/18 15:16,Female,1,30,Ethical reasons ,4,2,2,2,2,4,4,4,4,4,4,4,ambiguous,prosocial
24,9/5/18 15:13,9/5/18 15:17,Male,2,22,To try and figure if people will stand by what they say when money is involved.,1,6,6,6,2,2,6,2,2,2,2,2,absolute,selfish
25,9/5/18 15:13,9/5/18 15:17,Male,0,22,to see whether people would lie or tell the truth and whether they serve their own interests or not,4,4,6,2,2,4,6,6,4,6,4,4,ambiguous,prosocial
26,9/5/18 15:05,9/5/18 15:17,Female,0,30,"to test a persons reactions in a situation whereby influencing another persons incorrect decision could lead to a greater gain for them. 
",3,3,5,3,2,3,3,4,4,3,2,3,ambiguous,selfish
27,9/5/18 15:11,9/5/18 15:21,Female,1,25,To determine the honesty of a particular participant,1,7,7,5,1,2,2,3,1,1,1,1,absolute,selfish
28,9/5/18 15:10,9/5/18 15:21,Female,0,27,To test morals and look at the idea of honesty ,4,2,5,3,3,6,6,7,4,6,6,6,ambiguous,prosocial
29,9/5/18 15:09,9/5/18 15:22,Male,0,32,The purpose was to see if someone would mislead another person when they were able to stay anonymouse.,4,2,2,2,2,5,5,6,5,5,5,4,ambiguous,prosocial
30,9/5/18 15:17,9/5/18 15:23,Female,0,21,To see whether peoples actions match their words and promises regarding money.,3,4,5,3,2,2,2,5,1,2,2,2,ambiguous,selfish
31,9/5/18 15:09,9/5/18 15:23,Male,2,21,To see how likealy a person is to sacrifice part of his reward so that the other person can earn something.,2,1,2,2,2,6,6,7,4,6,6,6,absolute,prosocial
32,9/5/18 15:18,9/5/18 15:24,Female,0,18,To understand if a person's views conflicts with their actions during certain situations.,2,5,5,7,2,1,1,1,1,2,2,1,absolute,prosocial
33,9/5/18 15:17,9/5/18 15:26,Male,0,26,To see how people judge other people,1,4,4,4,5,4,4,3,4,5,5,5,absolute,selfish
34,9/5/18 15:25,9/5/18 15:28,Male,0,45,to see if monetary gain can influence the honesty of people,1,6,6,7,2,2,3,2,2,2,2,1,absolute,selfish
35,9/5/18 15:20,9/5/18 15:29,Female,0,43,"To test how honest the sender is, by seeing how often they tried to mislead the receiver into giving the wrong answer (and therefore earning more money for the sender)",3,3,3,3,4,2,2,5,2,2,2,2,ambiguous,selfish
36,9/5/18 15:21,9/5/18 15:30,Male,0,43,"To test the honesty/ethics/morality of the Sender. Would they be more likely to assist the Receiver in earning money, or put their own interests first.",2,3,4,3,4,3,3,5,3,3,4,3,absolute,prosocial
37,9/5/18 15:19,9/5/18 15:31,Female,0,32,Check how ethically people behave when another person's failures lead to greater personal gain.,3,3,2,2,2,4,2,2,2,4,2,2,ambiguous,selfish
38,9/5/18 15:21,9/5/18 15:31,Female,0,29,to see wether our judgement of a person can change our perspective?,1,5,2,4,4,2,2,3,1,2,2,2,absolute,selfish
39,9/5/18 15:25,9/5/18 15:32,Female,2,55,To evaluate how we view the honesty of another person.,1,6,6,7,2,3,3,2,2,3,3,3,absolute,selfish
40,9/5/18 15:16,9/5/18 15:32,Male,0,31,Guess one of the two sides of the coin.,3,2,3,4,4,3,4,6,5,6,5,4,ambiguous,selfish
41,9/5/18 15:28,9/5/18 15:32,Female,0,44,Not sure,3,3,3,6,4,3,3,5,3,3,4,3,ambiguous,selfish
42,9/5/18 15:28,9/5/18 15:34,Male,0,50,"It was about ethics, morals and trust.",4,6,6,7,7,2,2,2,1,2,2,1,ambiguous,prosocial
43,9/5/18 15:29,9/5/18 15:35,Female,0,30,to see how much people can trust strangers,2,1,1,1,7,7,7,7,7,6,6,6,absolute,prosocial
44,9/5/18 15:15,9/5/18 15:35,Female,0,22,"To see how people emphasise and relate to each other maybe. Since the sender will always get paid no matter the outcome and the difference between the money they receive whether the answer is right or wrong is little, and because the receiver doesn't know the amount they get so they don't know the sender can get paid more and make them not get paid if the answer is wrong and therefore the receiver as no motive to not thrust the sender, the only reason for the sender to lie is because they are greedy and only care for themselves. And with the game we can study how much people are willing to thrust people they don't know and see how people react when they are presented with options that will benefit them even when they are immoral and don't benefit others.",1,7,6,7,2,2,2,1,2,1,1,1,absolute,selfish
45,9/5/18 15:25,9/5/18 15:36,Male,0,29,"To asses the balance of benefit-morality-risk in the long run, the effect of having to consciously weight on it while playing with full knowledge of the results and pretty clear way to predict the results.",3,4,2,3,1,2,2,3,3,3,2,2,ambiguous,selfish
46,9/5/18 15:28,9/5/18 15:37,Male,0,18,to determine how often the sender(s) would lie and whether the sender would choose to gain more money from the outcome for themselves or share it with the other person,4,2,2,3,2,7,4,6,7,4,7,7,ambiguous,prosocial
47,9/5/18 15:24,9/5/18 15:37,Female,1,28,I think it was to see a link between honesty (as in lying/not lying) and fairness since the participant had to answer a question about lies and later had to lie to the second participant to let him get a reward. ,2,3,5,5,5,5,5,7,6,6,6,6,absolute,prosocial
48,9/5/18 15:22,9/5/18 15:37,Female,1,21,to investigate one's willingness to use the information they have to achieve a profit at the expense of others,4,2,2,2,5,5,2,6,4,5,5,4,ambiguous,prosocial
49,9/5/18 15:30,9/5/18 15:39,Female,0,30,To earn money for the Sender,3,3,3,3,4,2,3,4,2,2,2,2,ambiguous,selfish
50,9/5/18 15:32,9/5/18 15:39,Female,0,25,To test memory,3,4,4,5,4,4,4,4,4,4,4,4,ambiguous,selfish
51,9/5/18 15:30,9/5/18 15:40,Female,0,30,To see how many times the receiver chose the same option that the sender sent,4,4,5,6,4,4,3,6,4,5,5,4,ambiguous,prosocial
52,9/5/18 15:34,9/5/18 15:42,Female,1,28,to figure out if a person is selfish or not,1,6,6,6,2,2,2,3,2,2,2,2,absolute,selfish
53,9/5/18 15:37,9/5/18 15:44,Male,2,23,judging people by their actions not quite connected to this specific judgement,4,4,4,4,4,3,3,5,3,3,3,3,ambiguous,prosocial
54,9/5/18 15:39,9/5/18 15:44,Male,0,38,to rate people's self interest,4,3,4,4,3,3,1,5,3,3,3,3,ambiguous,prosocial
55,9/5/18 15:35,9/5/18 15:45,Female,1,21,see how conditions influence the sense of ethics,2,1,1,1,5,6,4,6,5,4,4,4,absolute,prosocial
56,9/5/18 15:36,9/5/18 15:46,Male,0,20,"To check if the sender will be a honest person in situation that is clearly on his side. I guess most people choose to fool receiver to earn a bit more money. I can't judge that, only the sender might feel that he lied. Pretty cool test I'd say!",3,4,4,4,6,3,3,3,2,3,3,4,ambiguous,selfish
57,9/5/18 15:41,9/5/18 15:47,Female,0,27,To rate moral alignment in individuals.,3,1,2,2,2,2,1,3,2,2,3,1,ambiguous,selfish
58,9/5/18 15:42,9/5/18 15:47,Female,0,32,"To see if people would lie, when knowing that the truth would leave one person with no reward.",2,3,6,7,6,6,4,6,3,5,5,3,absolute,prosocial
59,9/5/18 15:32,9/5/18 15:47,Female,0,20,To see to which extent the sender values their morals and how much the receiver trusts their partner to not be selfish.,1,6,7,7,2,2,1,2,1,2,1,1,absolute,selfish
60,9/5/18 15:40,9/5/18 15:47,Female,0,36,Understand how mind tricks work,3,3,6,6,3,3,2,5,2,2,3,2,ambiguous,selfish
61,9/5/18 15:39,9/5/18 15:48,Female,1,28,"To see how greedy the SENDER is and how doubtful the RECEIVER is (= do they trust the SENDER to give them money too or do they believe the SENDER is driven by greed and answer opposite of what they were told). Anonymity plays a big part, as it's easier to be tempted to lie to the RECEIVER when they're just a random person somewhere far away.",1,3,2,2,2,1,2,2,2,2,2,2,absolute,selfish
62,9/5/18 15:44,9/5/18 15:48,Female,0,21,Unsure,4,2,4,2,5,2,2,2,2,2,2,2,ambiguous,prosocial
63,9/5/18 15:36,9/5/18 15:49,Female,3,26,To understand would a people gives wrong answers to earn more even if they know the other people will get nothing if they do that. ,4,5,5,5,3,2,4,2,6,2,3,4,ambiguous,prosocial
64,9/5/18 15:44,9/5/18 15:49,Female,0,26,i have no idea,2,1,1,1,2,5,5,6,5,6,6,5,absolute,prosocial
65,9/5/18 15:40,9/5/18 15:50,Male,0,22,to see how unselfish the send is,2,2,2,2,2,4,5,6,7,5,5,5,absolute,prosocial
66,9/5/18 15:43,9/5/18 15:51,Female,0,23,To see how honest people would be if they were in control of the money they would receive.,1,2,2,2,2,2,4,5,2,2,2,2,absolute,selfish
67,9/5/18 15:42,9/5/18 15:52,Female,1,32,"To find out if people are honest, what sort of personality and traits a person has ",1,5,6,6,2,3,6,2,2,2,2,1,absolute,selfish
68,9/5/18 15:43,9/5/18 15:52,Female,0,28,To study trust between strangers and whether people are willing to lie,1,6,7,7,4,2,4,3,2,2,2,2,absolute,selfish
69,9/5/18 15:45,9/5/18 15:53,Female,0,36,To see if the SENDER is cooperate with the RECEIVER or not.,3,2,3,2,2,2,2,3,1,2,2,1,ambiguous,selfish
70,9/5/18 15:52,9/5/18 15:54,Male,1,22,To understand if they trust the sender.,3,3,6,6,3,4,3,2,4,5,4,5,ambiguous,selfish
71,9/5/18 15:47,9/5/18 15:54,Female,0,39,to see if peoples morals were affected by certain circumstance?,2,2,2,6,2,7,7,7,7,7,7,7,absolute,prosocial
72,9/5/18 15:44,9/5/18 15:54,Male,0,19,To check if one can dump their values for money.,1,7,7,7,4,1,1,1,1,1,1,1,absolute,selfish
73,9/5/18 15:43,9/5/18 15:55,Male,5+,37,To see if a person only acts in his own interests or also in in the interests of someone else. And to see if someone is prepared to act against his beliefs when doing so.,2,5,6,6,5,6,6,7,2,3,4,4,absolute,prosocial
74,9/5/18 15:49,9/5/18 15:55,Female,5+,20,Determining how easy or hard it is to elicit dishonest responses from participants.,1,6,6,6,5,2,2,3,2,2,2,2,absolute,selfish
75,9/5/18 15:44,9/5/18 15:55,Male,0,18,The Coin Flip game was to test people to see if they would let their selfish money grabbing side take over and if they would lie to gain more money. Even if the increase was 25 cents they would still prefer to have that then give the other person money at all. This game is way more than just a gambling game. ,1,7,2,7,5,2,1,2,2,4,1,2,absolute,selfish
76,9/5/18 15:45,9/5/18 15:55,Male,5+,23,To see whether the sender will pursue his own benefits or whether he will share the compensation with the receiver. ,2,7,7,7,6,5,5,6,2,2,2,2,absolute,prosocial
77,9/5/18 15:49,9/5/18 15:55,Male,0,20,Verify if the person was honest.,1,7,7,6,2,2,2,2,2,2,3,4,absolute,selfish
78,9/5/18 15:48,9/5/18 15:56,Male,0,22,"To measure how people weigh honesty vs good results or kindness. Lying to the receiver was a more generous action, despite lying supposedly being immoral. ",4,2,2,1,2,6,6,6,4,5,6,5,ambiguous,prosocial
79,9/5/18 15:50,9/5/18 15:57,Male,0,42,Judging others,3,4,4,5,4,5,5,6,5,5,5,5,ambiguous,selfish
80,9/5/18 15:50,9/5/18 15:57,Female,0,38,testing how people judge other's decisions,1,5,2,7,4,2,1,2,2,1,1,1,absolute,selfish
81,9/5/18 15:49,9/5/18 15:57,Male,0,18,To see if people went back on their core values and to see if greed can over power morals,3,6,2,2,2,1,1,1,1,1,1,1,ambiguous,selfish
82,9/5/18 15:48,9/5/18 15:57,Female,0,39,To see who would get a share of the money,2,2,3,5,1,7,3,7,2,5,5,3,absolute,prosocial
83,9/5/18 15:51,9/5/18 15:57,Female,2,38,To decide if the sender was telling lies. ,4,2,5,2,3,4,4,4,1,2,2,2,ambiguous,prosocial
84,9/5/18 15:49,9/5/18 15:57,Male,0,23,"To find out whether people with different believes behaves differently, wants to be helpful and not greedy. ",2,2,6,7,7,7,7,6,5,6,6,5,absolute,prosocial
85,9/5/18 15:49,9/5/18 15:58,Male,0,25,To determine how likely people would accept a small loss for the greater benefit of the group they're in.,4,2,2,2,3,4,5,5,5,4,5,3,ambiguous,prosocial
86,9/5/18 15:53,9/5/18 15:58,Female,0,58,Determine how altruistic the sender might be given that the sender only loses a quarter if the receiver guesses incorrectly. ,2,1,2,2,2,6,6,6,6,6,6,6,absolute,prosocial
87,9/5/18 15:55,9/5/18 15:59,Male,0,19,"To test whether participants would place their own gain above others', and whether they would lie to help another.",4,2,2,2,2,6,6,6,4,6,6,5,ambiguous,prosocial
88,9/5/18 15:50,9/5/18 16:00,Male,2,44,To see how honest people are.,3,2,2,2,1,2,2,2,1,1,1,1,ambiguous,selfish
89,9/5/18 15:46,9/5/18 16:00,Male,1,48,Determining whether someone would lie to a stranger to gain an extra reward for themselves.,3,4,2,2,4,2,2,2,2,2,2,2,ambiguous,selfish
90,9/5/18 15:54,9/5/18 16:00,Male,0,20,For the two players to earn money,4,1,1,2,3,6,1,7,2,6,6,6,ambiguous,prosocial
91,9/5/18 15:53,9/5/18 16:01,Female,1,52,Moral values?,3,3,3,3,3,2,2,2,2,2,2,3,ambiguous,selfish
92,9/5/18 15:52,9/5/18 16:01,Male,2,36,I think it is a game theory exercise. ,1,5,6,1,2,2,2,1,1,2,2,2,absolute,selfish
93,9/5/18 15:50,9/5/18 16:02,Male,5+,22,purpose was determining peoples opinions about the correlalion of behaviours and responses upon self integrity,1,7,7,7,2,4,1,2,2,2,2,2,absolute,selfish
94,9/5/18 15:55,9/5/18 16:02,Female,0,21,To see if people will act selfishly or not when given the opportunity to gain more.,1,1,3,1,1,2,2,1,1,2,2,1,absolute,selfish
95,9/5/18 15:56,9/5/18 16:03,Male,0,19,Sorry but I really don't know,1,1,7,7,4,6,5,3,7,7,7,7,absolute,selfish
96,9/5/18 15:56,9/5/18 16:03,Female,1,25,To see how te people act in front of the possibility to get an actual benefit without others knowing compared to what they think replying to a generic survey.,3,4,4,4,4,2,2,2,1,3,3,2,ambiguous,selfish
97,9/5/18 15:56,9/5/18 16:03,Female,0,57,"not sure, to see how honest people are, and how generous",2,3,3,4,3,4,4,6,4,4,4,5,absolute,prosocial
98,9/5/18 15:57,9/5/18 16:03,Male,0,24,To see if people are fair and would share the profit from the game.,2,3,4,3,3,3,6,4,5,3,4,4,absolute,prosocial
99,9/5/18 15:52,9/5/18 16:04,Female,1,34,to show can you believe other one or not,1,4,5,5,5,4,4,3,2,3,2,2,absolute,selfish
100,9/5/18 15:56,9/5/18 16:04,Male,0,21,to get a sample of how much a person is trhustworthy,4,2,4,3,4,4,5,4,3,5,5,3,ambiguous,prosocial
101,9/5/18 15:58,9/5/18 16:05,Male,2,56,Memorize something and comprehension?,3,2,2,5,6,6,4,6,6,4,4,2,ambiguous,selfish
102,9/5/18 15:55,9/5/18 16:07,Male,0,23,"I think the purpose was investigating how people will react knowing they will probably get a small amount of money less, but could help earn some money to a stranger too.I think the most of people will try to help a stranger too, but I am curious to which extent they would go (how much money are they willing to lose). 12.5 % isn't a lot.",2,1,1,1,7,4,2,6,6,6,6,6,absolute,prosocial
103,9/5/18 15:58,9/5/18 16:07,Female,0,36,Trust in the information given by the sender to gain the most amount of money for the receiver.,2,2,2,2,2,4,4,5,2,4,4,5,absolute,prosocial
104,9/5/18 15:50,9/5/18 16:07,Male,2,32,measure the honesty of people,1,5,6,4,5,4,4,4,4,4,4,4,absolute,selfish
105,9/5/18 16:01,9/5/18 16:08,Female,0,42,To see whether a persons views/morals/principles are reflected in their actions,2,5,6,6,6,6,4,7,2,2,6,5,absolute,prosocial
106,9/5/18 15:55,9/5/18 16:08,Male,0,23,To identify a correlation between how we perceive an unknown individual based upon how we are impacted financially,3,4,4,6,4,2,2,2,2,2,2,2,ambiguous,selfish
107,9/5/18 16:04,9/5/18 16:08,Female,0,37,To Understand if the sender is honest,2,3,5,1,1,2,3,2,3,5,5,5,absolute,prosocial
108,9/5/18 15:56,9/5/18 16:09,Female,2,26,"To test participant's values, especially in things that do affect them directly and other people as well. In this case, I was expecting the sender to be more selfish or having a more ""meh"" attitude, but he did the 'right thing.'",4,1,2,6,1,7,6,6,4,6,7,6,ambiguous,prosocial
109,9/5/18 15:49,9/5/18 16:09,Female,0,42,no idea,4,3,6,4,4,4,4,4,4,4,4,4,ambiguous,prosocial
110,9/5/18 16:05,9/5/18 16:09,Male,0,29,To see if ppl would take advantage of others with being dishonest.,3,7,4,6,5,5,6,4,5,2,4,3,ambiguous,selfish
111,9/5/18 16:05,9/5/18 16:09,Male,0,45,To check how much someone is willing to give up a slight portion of his potential winnings for mutual benefit,4,2,2,2,2,3,2,2,2,2,2,2,ambiguous,prosocial
112,9/5/18 15:53,9/5/18 16:10,Female,1,35,Checking  if possibility to get some money can affect the way we behave/ if it can influence on our morality.,1,6,6,7,2,3,2,1,2,2,2,1,absolute,selfish
113,9/5/18 16:04,9/5/18 16:10,Male,0,28,measure the trust between humans,3,7,3,2,1,1,1,1,1,1,1,1,ambiguous,selfish
114,9/5/18 16:03,9/5/18 16:10,Male,1,21,chance,1,4,4,4,5,2,2,4,2,2,2,3,absolute,selfish
115,9/5/18 16:06,9/5/18 16:11,Male,0,19,Determine whether the participant's intention was selfish or selfless,2,4,4,4,4,4,1,4,1,4,3,2,absolute,prosocial
116,9/5/18 16:06,9/5/18 16:12,Female,0,21,To see if the receiver will trust the sender and if the sender will be honest about the outcome of the game.,4,2,4,3,5,5,2,6,1,4,5,5,ambiguous,prosocial
117,9/5/18 16:06,9/5/18 16:13,Male,0,23,"To see whether someone would do act against the benefit of someone else, in order to further their own.",3,2,2,2,3,2,2,4,2,4,4,4,ambiguous,selfish
118,9/5/18 16:06,9/5/18 16:14,Female,0,26,To see if someone who said they would not lie would lie or not.,2,2,4,6,5,6,6,7,5,5,6,6,absolute,prosocial
119,9/5/18 16:06,9/5/18 16:15,Male,0,67,to try and asess how reward affects honesty,4,3,2,3,4,2,2,3,1,3,3,4,ambiguous,prosocial
120,9/5/18 16:03,9/5/18 16:15,Female,1,56,"Really don't know, but it did ask for a lot of my attention to understand that the sender had to lye for the receiver to make some money.",2,5,4,7,2,7,7,7,3,4,5,4,absolute,prosocial
121,9/5/18 16:09,9/5/18 16:15,Male,0,30,study about honesty,4,4,5,3,3,4,3,4,3,3,3,3,ambiguous,prosocial
122,9/5/18 16:07,9/5/18 16:15,Male,5+,20,"To be completely honest with you, I have no idea!",3,3,5,4,4,2,2,4,3,5,5,4,ambiguous,selfish
123,9/5/18 16:08,9/5/18 16:16,Female,0,32,"A test of how trusting receivers are or whether senders would act dishonestly to further their own gains? However what I don't understand is, if both knew the rules, how do we know that the sender didn't lie assuming the receiver would expect they were? ",1,6,6,6,4,2,5,3,1,2,2,2,absolute,selfish
124,9/5/18 16:09,9/5/18 16:16,Male,2,22,"To see my reaction about the other ""participant"" ",2,4,4,5,4,5,4,4,5,5,5,5,absolute,prosocial
125,9/5/18 16:10,9/5/18 16:16,Male,0,21,Its a moral test.,4,2,2,3,3,3,3,4,5,3,4,3,ambiguous,prosocial
126,9/5/18 16:11,9/5/18 16:16,Male,2,31,Trying to determine if its ethical to lie in order to get the better overall outcome for everyone,2,2,2,4,2,6,7,3,4,5,5,6,absolute,prosocial
127,9/5/18 16:09,9/5/18 16:17,Male,0,32,A simple game to evaluate and study moral and ethical decissions.,4,1,2,2,2,7,6,7,7,6,6,7,ambiguous,prosocial
128,9/5/18 16:14,9/5/18 16:17,Male,0,27,See people behavior,4,4,3,2,4,5,5,5,6,5,6,4,ambiguous,prosocial
129,9/5/18 16:09,9/5/18 16:17,Male,0,29,To learn about morals and what people would do with theirs when money is on the bag,3,5,3,4,2,2,2,2,2,4,4,2,ambiguous,selfish
130,9/5/18 16:09,9/5/18 16:17,Male,1,27,"No idea, sorry",1,2,2,2,3,5,6,2,6,5,6,6,absolute,selfish
131,9/5/18 16:11,9/5/18 16:17,Female,1,28,To see whether the personality of a person could correlate with his actions in the game.,4,2,3,3,2,7,7,7,6,7,7,6,ambiguous,prosocial
132,9/5/18 16:07,9/5/18 16:18,Male,0,31,Whether the sender would act in a way to benefit the others.,2,2,2,3,2,6,6,6,4,6,6,5,absolute,prosocial
133,9/5/18 16:14,9/5/18 16:19,Male,2,23,"Honestly, no idea.",1,4,5,5,4,5,3,4,5,3,4,5,absolute,selfish
134,9/5/18 16:13,9/5/18 16:19,Male,0,24,To see if people will lie for benefit.,2,2,2,6,2,7,7,6,2,6,6,6,absolute,prosocial
135,9/5/18 16:10,9/5/18 16:19,Male,0,27,To see how easily people trust each other.,3,1,1,1,1,4,2,3,2,4,2,2,ambiguous,selfish
136,9/5/18 16:10,9/5/18 16:19,Male,0,22,To see if one goes against their own moral values of lying and to see how unselfish someone is.,2,6,7,7,2,7,6,7,7,7,7,5,absolute,prosocial
137,9/5/18 16:08,9/5/18 16:19,Female,2,29, I think its see  the behavior if one person is honest or not.,1,4,4,4,4,6,5,3,6,5,5,5,absolute,selfish
138,9/5/18 16:11,9/5/18 16:19,Male,0,40,assuming mistrust,4,1,1,1,4,5,4,5,5,5,5,5,ambiguous,prosocial
139,9/5/18 16:14,9/5/18 16:19,Female,0,34,I don't know,4,1,2,2,2,4,4,6,3,4,4,4,ambiguous,prosocial
140,9/5/18 16:11,9/5/18 16:20,Male,0,30,To test whether people's actions would remain consistent with their answers to the initial questionnaire (particularly the question pertaining to the morality of lying) in a scenario that allows them to benefit more from lying than telling the truth.,1,5,5,6,4,4,4,2,2,4,4,2,absolute,selfish
141,9/5/18 16:12,9/5/18 16:20,Male,1,22,The purpose of the coin flip game was to determine how one person would manipulate the decision of another person.,1,6,7,7,1,2,1,2,2,2,2,1,absolute,selfish
142,9/5/18 16:14,9/5/18 16:20,Female,1,25,To see people behave and trust,4,1,4,1,2,4,5,5,3,4,5,4,ambiguous,prosocial
143,9/5/18 16:14,9/5/18 16:21,Male,2,22,To see if people can attention for just 50 cents.,2,7,6,2,3,2,6,2,2,1,1,1,absolute,prosocial
144,9/5/18 16:16,9/5/18 16:21,Male,0,28,"To see, if people can share the winnings with other people or just get the biggest outcome.",3,4,2,2,2,2,3,3,2,2,2,2,ambiguous,selfish
145,9/5/18 16:14,9/5/18 16:22,Male,0,29,To judge whether a person will try and get a little remuneration for himself/herself so that another person has a chance to gain something in return.,3,4,5,6,4,2,1,3,2,2,2,2,ambiguous,selfish
146,9/5/18 16:14,9/5/18 16:23,Male,0,27,test particiapants to see if they will lie or be unethical to receive a higher reward.,1,6,6,6,2,2,2,3,2,2,2,2,absolute,selfish
147,9/5/18 16:13,9/5/18 16:23,Female,0,27,"To see, wether people are willing to give up a little bit of theire own money to help other people much more than it costs themselves.",2,4,4,6,5,5,6,7,4,6,5,5,absolute,prosocial
148,9/5/18 16:16,9/5/18 16:23,Male,2,38,Game,2,5,5,4,5,5,6,2,6,5,6,6,absolute,prosocial
149,9/5/18 16:10,9/5/18 16:23,Male,5+,32,It is about trust of the players to the each other. Especially senders receivers...,4,3,3,4,5,6,6,6,6,5,5,5,ambiguous,prosocial
150,9/5/18 16:12,9/5/18 16:23,Male,1,53,"It is a risk game, where a coin is thrown with the same probability of winning or losing. The receiver will not know the result and the challenge is to have the credibility of the person who launched the coin and knows the result.",3,1,2,4,3,5,6,4,6,5,5,5,ambiguous,selfish
151,9/5/18 16:14,9/5/18 16:23,Male,0,26,"Checking if the SENDER is trustworthy,sharing or greedy and lying.",1,6,6,6,2,2,2,2,2,3,4,2,absolute,selfish
152,9/5/18 16:14,9/5/18 16:24,Male,0,20,To determine whrther people tell the truth about their values,2,5,6,7,6,6,7,7,3,6,6,4,absolute,prosocial
153,9/5/18 16:20,9/5/18 16:24,Female,1,24,To compare morals with actions ,1,7,7,7,1,1,1,1,1,1,1,1,absolute,selfish
154,9/5/18 16:19,9/5/18 16:24,Female,0,54,to test the integrity of the sender,1,2,2,5,5,4,5,6,5,5,5,5,absolute,selfish
