ID,Politician_Similarity,Gender,Age,Affiliation,Study Purpose,Attention_Check1,Attention_Check2,condition,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,vote,d1,g1,imm
30,no,Male,34,Democrat,not sure,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,5,5,7,3,4,4,4,4,4,3
31,Elizabeth Warren,Male,35,Other,How 1 lie affects my willingness to vote for a candidate ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,6,2,2,2,2,4,4,2
32,Donald Trump,Female,40,Other,To see what we thought about candidates lying,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,3,2,3,3,4,3,3,3,4,5,5,3
33,All of them,Male,34,Other,To see how we feel about politicians who seemingly lie out of habit. Comes with the territory!,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,4,5,4,3,4,4,4,4,3,4,3
34,no,Male,28,Republican,to see how people react to a lying politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,6,6,6,1,1,1,2,7,7,7
35,no,Female,51,Democrat,How the character of political candidates affects voting. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,6,5,5,6,4,4,4,4,3,3,3
36,donald trump,Male,30,Democrat,evaluate hypocrisy in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,3,3,3,1,4,4,7
37,No,Male,41,Republican,Ethics in Politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,5,4,5,3,3,3,5,5,5,4
38,No,Male,32,Republican,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,2,3,2,4,3,4,3,4,4,3
39,all of them,Male,29,Republican,to see how I'd vote based on the scenario,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,3,3,3,4,4,4,5
40,all of them,Male,31,Democrat,Not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,5,6,6,4,2,2,2,2,6,6,5
41,all of them,Male,29,Other,Still voting for a candidate even though they are liars? ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,4,4,2,1,5,5,5
42,Lindsey Graham,Female,34,Democrat,To see how we feel about a candidate that was lying about campaign contributions,,"Yes, he did lie about his campaign contributions.",5,control,no,5,7,6,6,4,3,3,3,3,3,4,6
43,"I mean it kind of brought any and all politicians to mind, I don't know if there is a single would I would trust, I think they all lie to some degree. Maybe I trust AOC more than the average politician, thats it though.",Female,32,Democrat,not sure,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,4,4,5,3,5,4,4,5
44,Trump,Male,23,Democrat,To examine how people perceive a relatively small 'lie' from a politician after that politician has claimed to be completely honest.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,5,6,6,4,4,2,2,4,4,4
45,It seemed like he represented all politicians,Female,34,Republican,how we view someone based on their lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,5,5,4,6,2,2,3,3,4,4,5
46,No,Male,36,Republican,To see what I tough about lying in Polictics ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,5,7,7,7,2,2,2,3,5,6,3
47,It brings all politicians to mind. I cannot think of one politician that I feel I can trust more than maybe 50% of the time. It seems to be all about power anymore and now the values and helping regular Americans out.,Female,45,Other,how much can politicians be trusted,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,5,5,5,2,2,2,2,5,5,5
48,"No, it did not bring any to mind.",Male,35,Democrat,Perception of political lies.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,6,5,5,5,2,2,2,1,4,4,5
49,no,Female,32,Democrat,I do not know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,1,1,1,2,7,7,7
50,no,Female,33,Other,How peoples idea of morality lines up with campaign promises. ,,"Yes, he did lie about his campaign contributions.",5,control,no,6,5,6,6,6,3,3,2,2,5,4,5
51,Donald Trump,Male,27,Other,Opinions on lying in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,7,7,7,1,1,1,1,5,5,6
52,No.,Female,38,Democrat,Thoughts about honesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,4,6,4,4,2,2,2,2,5,7,6
53,Politics,Female,30,Republican,Good ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,6,3,6,6,5,6,6,6,7,6,5
54,all of them?,Female,31,Democrat,"view on politicians lying, esp in your party",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,3,5,5,6,3,3,3,3,5,5,4
55,None that I can think of at this time.,Female,32,Republican,How people view lying in politics ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,1,1,7,7,1,1,1,1,1,7,7,6
56,no in particular ,Male,35,Republican,To see if we thought it was OK to lie in certain situations. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,7,3,3,2,2,4,6,5
57,Donald Trump,Female,33,Democrat,About politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,5,5,5,5,1,1,1,5,4,4,5
58,Matthew Johnson would be representative of pretty much every politician who you would find running for office anywhere at any time.,Male,46,Other,views on a political candidate,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,7,7,7,7,2,2,1,2,5,5,6
59,"every single one, it is what it is...",Male,40,Republican,perceptions and beliefs of a scenario involving a politician running for senate.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,3,3,3,3,3,3,3,3,3,3,3
60,not in particular,Male,28,Democrat,perceptions of hypocrisy ,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,2,2,2,3,5,6,4
61,no,Male,23,Democrat,Politics and money,,"Yes, he did lie about his campaign contributions.",5,control,no,3,3,3,3,3,4,4,4,4,3,3,4
62,some democrats like to pretend they're moral in every way but they actually are very immoral in certain aspects,Female,32,Democrat,Bias,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,3,5,4,5,3,3,3,4,5,4,6
63,no,Female,25,Democrat,honesty in politicians and the relation between how we view them when we can see actual data,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,4,6,2,2,2,2,4,7,4
64,no,Female,28,Other,no,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,2,2,2,2,5,5,5
65,No one in particular. Most politicans take PAC money,Male,30,Democrat,To judge trustworthiness among politicians,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,5,4,4,4,4,4,3,3
66,"Not really. To me, they all lie to some degree. ",Female,62,Other,I don't know.,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,5,5,4,2,3,2,2,3,3,6
67,Mitch McConnell,Male,31,Democrat,To see whether I see dems or reps as being crooked. ,,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,1,1,1,1,7,7,7
68,No none in particular to me.,Male,35,Republican,How we feel about what someone says and what they actually do.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,4,5,6,5,2,2,3,5,4,6,3
69,no,Male,52,Republican,unsure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,4,5,5,4,3,3,2,3,5,6,5
70,all of them,Female,31,Other,Whether I prefer an honest politician to a politician who claims to hold the same positions as me,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,1,1,6,6,1,1,1,1,1,6,6,7
71,No,Female,25,Democrat,People's opinions on politicians who lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,7,7,7,2,2,2,1,5,7,6
72,Joe Biden,Male,55,Other,the lying politician,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,3,7,6,6,2,3,2,1,6,1,6
73,most of them,Male,66,Democrat,I don't know,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,5,5,5,5,6,3,4,3,3,4,4,4
74,Trump,Male,31,Democrat,Determine if a politician lying has an affect on whether or not to vote for them,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,5,5,5,6,2,2,2,3,3,3,4
75,"No, he sounds pretty standard for a politician.",Female,24,Democrat,Opinions on politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,7,6,6,6,6,3,3,1,2,4,5,6
76,almost all of them!,Female,53,Republican,People's acceptance of lying by politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,1,1,1,2,5,4,7
77,Trump,Female,47,Other,To see if people think lying is morally worse from people who admit that they will be dishonest,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,3,5,6,3,2,2,1,2,6,6,7
78,no,Female,30,Other,ethics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,6,6,6,6,2,2,2,2,5,4,6
79,pretty much all of them.,Female,44,Republican,To see if opinions can be changed when given more information.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,7,7,6,2,2,2,2,6,6,6
80,"Everyone one of them, I think they are all liars. Biden is the politican that comes to mind for me.",Female,37,Republican,If I would still vote for someone who lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,7,7,7,1,1,1,1,7,7,7
81,This reminded me of how Trump asked for donations for his legal funds but pocketed them unless they were of a certain amount.,Female,33,Democrat,honesty,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,7,7,7,1,1,1,1,6,6,7
82,"Trump, Mconnell ",Female,34,Democrat,If someone admitting they're lying would make you not want to vote for them,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,7,7,7,7,7,1,1,1,1,7,6,6
83,"All politicians, but mainly Gavin Newsom, who is a hypocrite and has been caught lying recently. ",Male,34,Republican,To gauge how moral we feel it is for a politician to be caught lying. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,7,6,6,6,2,2,2,2,5,6,6
84,bill clinton,Male,34,Republican,to see how i feel about politicians lying,,"Yes, he did lie about his campaign contributions.",5,control,no,1,1,1,1,1,6,6,6,5,3,3,3
85,No.,Female,32,Other,How lying impacts voting decisions.,,"Yes, he did lie about his campaign contributions.",5,control,no,4,4,6,6,4,2,2,2,2,6,6,6
86,Donald Trump,Female,43,Democrat,To determine how we feel about an ethical situation.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,7,6,6,7,1,1,1,1,4,4,6
87,Trump,Male,30,Democrat,Opinions about small lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,4,6,5,6,6,5,5,5,3,3,3,4
88,no,Male,48,Republican, judgment,,"Yes, he did lie about his campaign contributions.",5,control,no,5,4,6,5,6,6,6,5,5,5,4,6
89,"most of them can't be trusted IMO, but Trump is always making stuff up of lying ",Male,44,Republican,politicians and trustworthiness,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,5,5,4,4,4,3,3,3,4,5
90,HE WILL BE A GOOD POLITICIAN,Female,30,Democrat,NICE SURVEY,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,5,6,5,6,6,6,6,5,6,6,6
91,"Not particulary. Almost all politician accept PAC money, and they all like to emphasize their individual contributions as a way of demonstrating their broad base of support. ",Male,37,Democrat,To determine whether ethics in politics affects voter behavior. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,2,2,5,5,5,6,4,3,6,3,5,3
92,Probably all of them. ,Female,40,Republican,Lying,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,5,2,3,2,2,4,4,6
93,All politicians lie so I got a generic politician image,Female,51,Other,I do not know the purpose.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,3,6,6,5,2,2,2,2,6,6,5
94,Pretty much all of them,Female,37,Other,Dishonesty in political campaigns,,"Yes, he did lie about his campaign contributions.",5,control,no,7,4,6,7,7,2,2,1,1,6,6,6
95,Joe Biden,Male,33,Republican,Examine how people interpreted a lying politician if said politician was from their own party,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,5,5,5,5,4,4,4,5,4,4,2
96,Joe biden,Male,42,Republican,Decision making ,,"Yes, he did lie about his campaign contributions.",5,control,no,7,6,7,5,5,1,1,1,1,6,7,7
97,No,Female,32,Republican,"
I'm not sure",,"Yes, he did lie about his campaign contributions.",5,control,no,7,7,7,7,7,2,2,2,2,4,4,5
98,no,Male,42,Republican,I don't know.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,6,2,2,2,2,4,5,4
99,Too many to name...,Male,37,Democrat,To see how different demographics respond to the scenario?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,5,6,6,3,3,3,4,3,4,5
100,"It brings most politicians to mind. I can't think of one in particular. They all say they get donations at ""ground level"", and then find out it was mostly PAC's and mega donors. ",Female,36,Democrat,"To see how people gauge a politician on something seemingly small and inconsequential, yet it speaks volumes about their character. ",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,7,5,7,7,5,2,2,2,2,5,6,6
101,none,Female,30,Republican,Judgements on dishonesty in political campaigns,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,5,4,5,2,3,2,2,4,4,5
102,lindsay graham,Male,43,Democrat,judgments of ethical behavior based on political beliefs,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,2,6,7,6,2,2,2,2,4,5,4
103,"Bernie Sanders claims he does not take contributions from PAC, I wonder how truthful it is.",Male,44,Republican,"if you catch a politician lying about where his money comes from, does that make them somebody you would not vote for",,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,6,7,5,5,1,2,3,7,7
104,Donald Trump,Female,31,Other,Our perception on politics.,,"Yes, he did lie about his campaign contributions.",5,control,no,7,6,7,5,7,2,2,3,3,5,4,6
105,"Almost every single one, mostly Elizabeth Warren or Pete Buttigeg",Female,29,Democrat,To see what effect a lie had on us,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,3,7,6,7,2,2,3,4,5,5,5
106,"yes, our current president for one",Male,67,Democrat,assess attitudes towards honesty or the lack of it in politics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,7,6,7,4,4,2,2,1,2,4,7,7
107,yes.  Joe Biden,Male,42,Republican,The purpose of the study is to see if voters would still vote for a candidate who is immoral or is a hypocrite. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,2,2,2,2,3,4,5
108,no,Male,32,Democrat,Voters opinion on a candidate in their party lying. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,2,6,6,6,3,3,2,4,3,5,3
109,No,Female,42,Democrat,Not sure ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,3,3,3,3,3,4,4,4,4,3,3,3
110,None,Female,29,Other,Political candidates and how they campaign ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,6,5,5,6,7,4,4,2,3,6,5,6
111,Hillary Clinton (public vs private position),Male,35,Democrat,perception of ethics,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,4,6,7,2,2,2,2,2,5,6,5
112,No,Female,38,Other,Unknown,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,4,4,6,5,2,2,2,2,5,6,3,2
113,All of them.,Male,64,Other,don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,5,5,5,1,1,1,1,7,7,7
114,No,Female,64,Republican,Not sure,,"Yes, he did lie about his campaign contributions.",5,control,no,5,5,5,5,5,5,5,5,5,3,3,3
115,"No not really, at least not one in particular. ",Female,29,Democrat,no guess,,"Yes, he did lie about his campaign contributions.",5,control,no,2,6,2,2,2,6,6,6,6,2,2,2
116,"Yes, Marco Rubio",Male,51,Democrat,Determining views of a candidate if the person claims to be something that they end up not fully living up to.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,4,5,5,6,5,5,4,5,4,4,5
117,most of them,Male,30,Republican,to see what people think of politicians ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,5,5,3,3,6,5,5,5,4,6,6,7
118,Pretty much any politician,Female,25,Democrat,Evaluate trustworthiness of canidate,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,5,5,5,5,5,3,3,3,3,6,6,4
119,"yes, there have been many politicians who have said one thing and did another thing",Male,57,Democrat,to see what different persons think about ethics and truth in politics,,"Yes, he did lie about his campaign contributions.",5,control,no,6,6,6,6,6,2,2,2,2,4,4,7
120,no,Female,27,Democrat,unsure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,flexible,yes,3,3,3,3,2,3,3,3,3,3,2,6
121,All of them.,Male,34,Republican,To test my thoughts on politicians. I'll sum it up for you...they're all lying crooks. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,flexible,no,6,4,4,6,5,1,1,1,1,5,4,5
122,There was no specific politician that came to mind but most politicians I believe bend the truth or don't reveal everything to the public.  ,Female,38,Democrat,I think the purpose was to see people's views when politicians lie.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,6,6,6,5,2,3,2,2,5,4,5
123,very well,Male,30,Republican,well,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,5,6,7,6,5,5,6,6,7,6
124,Liar,Female,44,Republican,See how people respond to poLIEticians,,"Yes, he did lie about his campaign contributions.",5,control,no,4,4,4,4,4,4,4,4,4,5,1,4
125,Sleepy Joe Biden,Male,40,Other,This study was about voting behaviors and response to ethics and morals in politics. I think that our country is morally corrupt and the fact that Sleep Joe stole the election proves that. Something needs to change. Drain the swamp!,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,5,5,6,6,6,2,2,2,3,5,4,6
126,no,Male,32,Republican,how people view someone based on lies,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,5,6,6,6,2,3,2,2,5,5,4
127,"Yes, plenty of them are funded by PACs and SuperPACs.",Male,42,Other,See how you feel about the morality of campaign funding.,,"Yes, he did lie about his campaign contributions.",5,control,no,5,6,6,7,7,2,3,2,2,4,4,6
128,"Most of them, to be honest? Lying is endemic to the political field.",Female,29,Other,seeing how perceptions of lying and hypocrisy affect voting intentions?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,6,6,6,2,2,2,4,5,5,5
129,trump,Female,24,Other,how we perceive political candidates,,"Yes, he did lie about his campaign contributions.",5,control,no,3,3,3,3,3,6,6,5,6,4,3,5
130,None in particular,Female,38,Democrat,To find out people's opinions about politicians and dishonesty.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,5,6,7,7,2,3,2,2,4,4,4
131,"All of them - Biden, Harris, Pelosi, AOC, Bernie.",Male,35,Other,See if after exposing people no matter how sweet their words if caught in a lie would change our opinion.,,"Yes, he did lie about his campaign contributions.",5,control,no,7,6,6,6,3,2,2,2,2,6,6,6
132,"All of them, but most of all, President Trump",Female,26,Democrat,To see how a moral issue affects the opinion of a political candidate,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,5,5,6,2,2,2,2,4,3,5
133,Trump,Female,31,Democrat,To see if people have judgments against lying and find it immoral. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,absolute,no,6,6,7,6,6,2,3,3,2,3,5,4
134,Not that I can think of.,Male,27,Other,To understand what is and what isn't tolerable from politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,absolute,yes,6,6,6,6,6,4,4,3,4,3,2,5
