ID,StartDate,EndDate,Gender,Economics_exp,Age,Perceived_purpose1,Perceived_purpose2,condition,proclamation,behavior,Hypocrisy_1,Hypocrisy_2,Hypocrisy_3,Hypocrisy_4,Hypocrisy_5,Honest_frequency,Honest_likely,Honest_extreme,Honest_committment,Moral_1,Moral_2,Moral_3,Social_benefit1,Social_benefit2,pref,rv,sometimes,rarely,never,behavlie
14,3/15/19 12:16,3/15/19 12:25,Female,1,21,To give the person participating in this survey an insight of how the person they've been paired up with has behaved in a similar environment in the past.,To check how much the person taking this survey is affected by the information they received from the coin flip game.,1,never,selfish.lie,7,7,7,7,4,2,1,1,1,2,2,1,3,4,3,0,0,0,1,1
15,3/15/19 12:16,3/15/19 12:25,Male,0,35,To serve as an example to influence subsequent responses in the rely-verify game.,To determine whether respondents would be persuaded to select rely or verify based on the information presented by the researchers regarding the participant from the previous game.,6,sometimes,prosocial.truth,4,4,4,6,4,4,1,3,4,4,4,2,4,4,4,0,1,0,0,0
16,3/15/19 12:16,3/15/19 12:25,Male,5+,29,To see if people trust the opinions of strangers,To see if people trust the opinions of strangers,5,rarely,prosocial.truth,2,2,2,2,2,6,6,6,5,5,5,5,6,6,4,1,0,1,0,0
17,3/15/19 12:16,3/15/19 12:25,Female,0,49,whether or not to trust the other player,whether or not to trust the other player,2,rarely,selfish.lie,4,5,5,4,5,5,2,3,1,2,2,2,2,2,4,0,0,1,0,1
18,3/15/19 12:16,3/15/19 12:26,Female,0,34,no idea,no idea,2,rarely,selfish.lie,6,6,6,6,6,3,2,4,1,1,1,1,6,6,3,0,0,1,0,1
19,3/15/19 12:15,3/15/19 12:26,Male,2,28,I think the purpose of the coin flip game was to see how people view truthfulness.,I think the purpose of the rely or verify game was to see how trustworthy people are of people who lie.,3,sometimes,selfish.lie,4,4,1,7,7,1,1,1,1,1,1,1,1,1,5,0,1,0,0,1
20,3/15/19 12:16,3/15/19 12:26,Male,2,47,To see how people judge/predict behavior,To see how trusting people are based on limited information,4,never,prosocial.truth,1,1,1,1,1,7,7,7,6,6,5,6,6,6,4,1,0,0,1,0
21,3/15/19 12:17,3/15/19 12:26,Male,1,39,To study whether or not trust can be earned once certain factors are known and introduced.,To see if I trust player 580 after knowing that they lied previously.,1,never,selfish.lie,6,6,6,6,6,5,2,2,1,2,2,2,5,3,4,0,0,0,1,1
22,3/15/19 12:17,3/15/19 12:26,Female,0,46,to see if I will trust someone based on previous actions,to see if I will trust the partner based on previous actions,4,never,prosocial.truth,1,1,1,1,1,7,7,7,7,7,7,7,7,7,5,1,0,0,1,0
23,3/15/19 12:17,3/15/19 12:26,Male,1,41,To see whether someone would blindly trust a stranger's statement.,"The same as the coin flip, to see if someone would blindly trust a stranger's statement.",3,sometimes,selfish.lie,2,2,2,5,5,4,4,2,2,3,3,2,7,6,5,0,1,0,0,1
24,3/15/19 12:15,3/15/19 12:27,Female,0,45,To see peoples choices based on whether someone is lying or not,To check a lie,2,rarely,selfish.lie,3,3,4,3,3,6,5,4,3,5,5,4,7,7,4,0,0,1,0,1
25,3/15/19 12:15,3/15/19 12:27,Male,0,34,to create a confusing game,whether we trust a partner,1,never,selfish.lie,7,7,7,7,7,1,1,1,1,1,1,1,7,7,5,0,0,0,1,1
26,3/15/19 12:16,3/15/19 12:27,Female,1,63,trusting someone who thinks lying is okay sometimes.,to see if we could trust the person on the other side.,3,sometimes,selfish.lie,2,2,6,2,2,7,6,6,6,6,6,6,1,1,4,0,1,0,0,1
27,3/15/19 12:15,3/15/19 12:27,Female,5+,33,no idea,no idea,4,never,prosocial.truth,2,3,3,3,3,6,6,4,4,5,5,5,4,4,4,0,0,0,1,0
28,3/15/19 12:19,3/15/19 12:27,Male,1,37,to tell the truth,truth,2,rarely,selfish.lie,6,6,7,6,5,2,2,4,2,2,2,2,5,5,4,1,0,1,0,1
29,3/15/19 12:18,3/15/19 12:27,Female,2,26,See how much you trust a stranger ,See how much you trust a stranger ,2,rarely,selfish.lie,2,2,2,2,2,6,6,5,5,5,5,5,6,6,4,1,0,1,0,1
30,3/15/19 12:17,3/15/19 12:27,Female,1,38,To determine if people can trust a known liar.,To determine if people can forgive a known liar.,3,sometimes,selfish.lie,4,3,2,6,5,4,2,2,2,2,2,2,1,2,4,0,1,0,0,1
31,3/15/19 12:15,3/15/19 12:27,Female,0,26,The purpose of the coin flip game was to see how a person relies on another's information and to see if someone would lie to cheat another for their own gain. (I am not sure if I understood this question properly.),The purpose of the rely or verify game was to see if people would trust someone who had a history of being truthful.,4,never,prosocial.truth,1,1,1,1,1,7,6,7,6,7,7,7,6,5,4,1,0,0,1,0
32,3/15/19 12:18,3/15/19 12:27,Male,3,30,To figure out if people trust each others information.,To figure out if people use their knowledge to their advantage by deceiving other people,6,sometimes,prosocial.truth,3,3,2,2,3,5,3,3,4,5,5,4,4,4,3,0,1,0,0,0
33,3/15/19 12:20,3/15/19 12:27,Female,1,28,"someone says it's heads, you can either believe it or not and each person gets money based on those options. It's a lot like the verify-rely game or whatever it's called",to see if someone would trust someone who has shown to be trustworthy or not,4,never,prosocial.truth,2,6,2,2,2,7,7,7,6,6,6,6,6,5,3,1,0,0,1,0
34,3/15/19 12:15,3/15/19 12:27,Male,1,23,To see how we can choose the right decision in choosing the the payout of the game,To see if we are honestly telling the truth or lieing,5,rarely,prosocial.truth,1,2,2,2,2,5,5,3,7,7,7,7,5,4,4,0,0,1,0,0
35,3/15/19 12:18,3/15/19 12:27,Female,1,23,n/a,n/a,4,never,prosocial.truth,3,3,3,3,3,7,7,5,5,4,4,4,2,2,4,1,0,0,1,0
36,3/15/19 12:15,3/15/19 12:28,Male,3,34,The purpose of the coin flip game is to see whether a participant will blindly trust the assessment of a stranger of ask to verify the assessment.,The purpose of the rely or verify game is to see whether or not the act of lying can be constructive.,6,sometimes,prosocial.truth,2,2,2,2,2,6,5,5,4,5,5,4,2,2,4,0,1,0,0,0
37,3/15/19 12:20,3/15/19 12:28,Male,1,29,To give me a better idea of how truthful my partner is.,To put the little information I know about my partner into effect.,3,sometimes,selfish.lie,2,1,1,2,4,5,4,3,2,2,2,2,2,4,4,0,1,0,0,1
38,3/15/19 12:16,3/15/19 12:28,Female,0,34,Trust between two individuals ,To gage trustworthiness ,2,rarely,selfish.lie,6,6,6,6,6,3,2,1,1,1,1,1,2,2,5,0,0,1,0,1
39,3/15/19 12:15,3/15/19 12:28,Male,2,35,To see what it would take for someone to lie to benefit themselves.,To see if someone is willing to take a risk on a person to achieve a favorable outcome.,5,rarely,prosocial.truth,1,1,1,1,1,6,6,6,7,6,6,6,6,6,4,0,0,1,0,0
40,3/15/19 12:16,3/15/19 12:28,Male,0,39,To see if we could understand why someone would say it's okay to sometimes lie and still work with and trust them.,To test if people are as trustworthy when they can benefit more from lying.,6,sometimes,prosocial.truth,3,3,2,3,3,6,6,5,5,5,5,4,2,4,4,1,1,0,0,0
41,3/15/19 12:15,3/15/19 12:28,Male,2,45,About trusting strangers to tell the truth,"Again, trusting strangers to tell the truth",1,never,selfish.lie,7,7,7,7,7,2,1,1,2,2,2,2,4,5,3,0,0,0,1,1
42,3/15/19 12:22,3/15/19 12:28,Male,1,24,trust exercise ,trust excercise based on the mistrust of game 1,3,sometimes,selfish.lie,2,4,3,5,5,3,1,2,2,3,3,3,6,6,4,0,1,0,0,1
43,3/15/19 12:15,3/15/19 12:28,Female,5+,31,To see if SENDER is truthful or self-interested.,To see how much I trust someone who will lie for the purpose of self-interest.,1,never,selfish.lie,6,4,7,6,6,4,1,2,1,1,1,1,4,6,4,0,0,0,1,1
44,3/15/19 12:15,3/15/19 12:28,Male,3,53,To see how people view honesty and trustworthiness.,"Given certain information, how do people make decisions.",5,rarely,prosocial.truth,2,2,2,1,1,6,6,5,6,6,5,5,5,6,4,1,0,1,0,0
45,3/15/19 12:21,3/15/19 12:28,Female,0,43,To determine how often people lie in their own self interest,To determine how often people lie in their own self interest,3,sometimes,selfish.lie,5,3,2,3,3,4,2,2,5,5,5,5,5,2,4,0,1,0,0,1
46,3/15/19 12:17,3/15/19 12:28,Female,0,36,To see if ones opinion of lying forces another person to trust or distrust them? Maybe?,The Same situation ,2,rarely,selfish.lie,2,3,2,3,2,4,3,1,3,4,4,3,1,1,5,0,0,1,0,1
47,3/15/19 12:16,3/15/19 12:28,Male,0,38,whether or not to trust your partner ,whether or not to trust your partner ,1,never,selfish.lie,7,5,7,6,7,1,1,1,1,1,1,1,5,5,4,0,0,0,1,1
48,3/15/19 12:20,3/15/19 12:28,Male,1,32,To see how much I trust a stranger.,The same as prior.,1,never,selfish.lie,2,4,2,6,5,4,3,2,1,2,2,1,2,3,2,0,0,0,1,1
49,3/15/19 12:16,3/15/19 12:29,Male,2,35,trusting other people ,trusting other people,5,rarely,prosocial.truth,2,2,2,2,2,6,6,4,5,4,4,4,5,5,4,0,0,1,0,0
50,3/15/19 12:18,3/15/19 12:29,Male,1,50,testing trust when knowing little about your partner,determining if a player will trust someone proven untrustworthy by verifying or replying on their info,3,sometimes,selfish.lie,6,4,6,6,6,4,2,2,2,2,2,2,2,2,3,0,1,0,0,1
51,3/15/19 12:15,3/15/19 12:29,Female,0,54,"I'm not certain, maybe to find differences in responses based on perceptions of honesty in the game partner.","Maybe to see if there differences in how much the partner was trusted, even if they were trusted significantly in the previous game, in the choice to verify or not",5,rarely,prosocial.truth,1,1,1,1,1,6,6,6,6,6,6,6,6,6,4,1,0,1,0,0
52,3/15/19 12:15,3/15/19 12:29,Female,0,53,Trust,To see if I have trust in a stranger,4,never,prosocial.truth,1,1,1,1,1,7,7,7,7,7,7,7,7,7,5,1,0,0,1,0
53,3/15/19 12:19,3/15/19 12:29,Male,1,39,to measure the odds,to have trust with a partner ,1,never,selfish.lie,3,2,1,3,1,7,6,2,6,6,6,6,6,2,5,1,0,0,1,1
54,3/15/19 12:21,3/15/19 12:29,Male,2,32,Not sure! Trusting others?,To determine trust of others?,4,never,prosocial.truth,1,1,1,1,1,7,7,7,7,7,7,7,6,6,4,0,0,0,1,0
55,3/15/19 12:19,3/15/19 12:29,Male,1,29,to have us determine the other individuals morality in making decisions based on money,to see how we then judge their actions based on a large difference in earnings potential ,6,sometimes,prosocial.truth,2,1,3,1,1,4,2,5,5,6,6,6,5,6,4,0,1,0,0,0
56,3/15/19 12:19,3/15/19 12:29,Female,1,22,I don't know. earning money.,"I don;t know this either, but probably the same as the coin game.",2,rarely,selfish.lie,3,3,5,3,3,5,5,5,4,6,6,3,5,5,4,0,0,1,0,1
57,3/15/19 12:20,3/15/19 12:29,Male,0,48,"To observe altruism vs. selfishness, or big picture vs. small picture.","Same as the Coin Flip, but with the addition of a conservative option to definitely lose some money while ensuring that some is gained.",2,rarely,selfish.lie,7,7,7,7,7,5,2,2,2,3,3,3,5,5,4,0,0,1,0,1
58,3/15/19 12:15,3/15/19 12:29,Male,1,52,TRUST AND LYING ISSUES,TRUST,2,rarely,selfish.lie,4,5,5,4,4,5,1,1,3,3,4,5,6,1,5,1,0,1,0,1
59,3/15/19 12:17,3/15/19 12:29,Male,1,38,to test a person's level of trust,To test someone's perception of another person,1,never,selfish.lie,5,5,6,5,5,5,5,2,2,2,3,2,6,6,4,0,0,0,1,1
60,3/15/19 12:22,3/15/19 12:29,Male,1,31,determining if someone will be truthful when it will be more beneficial for them to lie,determining if you trust someone that you know has lied in the past,1,never,selfish.lie,7,7,7,7,7,2,1,3,1,2,2,2,5,5,3,0,0,0,1,1
61,3/15/19 12:17,3/15/19 12:30,Male,0,54,To judge honesty in a cost/benefit situation.,To judge relative level of trust in a cost/benefit scenario.,4,never,prosocial.truth,3,3,3,3,3,5,4,3,4,4,4,4,7,7,5,0,0,0,1,0
62,3/15/19 12:21,3/15/19 12:30,Male,0,22,To determine the trustworthiness of a person. ,To determine trust between strangers ,6,sometimes,prosocial.truth,2,2,2,2,2,5,6,5,5,4,5,5,2,2,4,1,1,0,0,0
63,3/15/19 12:20,3/15/19 12:30,Female,0,44,studying trust,studying if lying is ok,2,rarely,selfish.lie,7,7,7,7,6,2,2,1,1,2,2,2,6,6,3,0,0,1,0,1
64,3/15/19 12:18,3/15/19 12:30,Female,1,31,To give me information about how 518 performs in situations and gave me insight on how he holds himself to honesty or not. ,To see how I would use the previous information about 518,3,sometimes,selfish.lie,4,2,2,5,4,3,3,3,2,2,2,1,2,2,5,0,1,0,0,1
65,3/15/19 12:15,3/15/19 12:30,Male,2,46,The purpose is to gauge the trust someone has in strangers.,Judge the honesty or dishonesty someone has when money is at stake.,4,never,prosocial.truth,2,2,2,1,2,6,6,6,6,6,6,7,5,4,4,0,0,0,1,0
66,3/15/19 12:23,3/15/19 12:30,Female,0,27,To find out if a person is honest or not.,To find out if someone is willing to trust someone who claims to be honest.,5,rarely,prosocial.truth,1,1,1,1,1,6,6,6,6,6,7,7,6,5,4,1,0,1,0,0
67,3/15/19 12:20,3/15/19 12:30,Male,0,30,Judgments on people based on actions and previous actions ,Too see if you can rely on someone telling the truth based on previous knowledge,2,rarely,selfish.lie,6,6,6,5,6,6,5,5,3,4,4,4,6,5,4,0,0,1,0,1
68,3/15/19 12:22,3/15/19 12:30,Male,4,22,n/a,n/a,5,rarely,prosocial.truth,3,2,3,4,6,3,3,4,5,5,4,6,4,5,2,1,0,1,0,0
69,3/15/19 12:19,3/15/19 12:30,Female,2,30,Perception on trust,Perception on trust,4,never,prosocial.truth,2,2,4,2,2,7,7,1,7,6,7,7,2,2,5,0,0,0,1,0
70,3/15/19 12:17,3/15/19 12:30,Female,2,43,"To see if we ""saw"" someone lied once, do we think they would lie again.",To see if what we previously learned about someone would affect our decision,3,sometimes,selfish.lie,3,2,2,3,3,2,1,2,1,2,2,1,2,4,4,0,1,0,0,1
71,3/15/19 12:18,3/15/19 12:30,Male,0,25,To study how people make judgments and choices.,To study how people make judgments and choices.,1,never,selfish.lie,7,7,7,7,7,1,1,1,1,1,1,1,7,7,5,0,0,0,1,1
72,3/15/19 12:17,3/15/19 12:30,Female,2,57,To see how people trust each other.,To see whether people will lie or trust when money is in play.,6,sometimes,prosocial.truth,2,3,2,2,2,6,5,6,5,5,5,5,2,1,4,0,1,0,0,0
73,3/15/19 12:23,3/15/19 12:30,Female,1,35,To determine how much trust you have in someone.,To determine how much you will rely on your preconceived notion of trust.,5,rarely,prosocial.truth,2,2,2,2,2,6,6,6,6,6,6,6,5,5,4,1,0,1,0,0
74,3/15/19 12:16,3/15/19 12:30,Female,1,23,how test our morality in the choices we made at the beginning.,to test morality. ,2,rarely,selfish.lie,2,6,2,2,4,6,6,2,5,5,5,5,4,4,4,0,0,1,0,1
75,3/15/19 12:19,3/15/19 12:30,Male,2,30,Decision making based on honesty,Wether to trust stranger based on past decisions ,5,rarely,prosocial.truth,2,6,1,2,3,6,6,6,5,5,5,5,6,6,4,0,0,1,0,0
76,3/15/19 12:17,3/15/19 12:30,Female,1,44,To judge peoples values?,To see if I would trust someone who is a liar?,3,sometimes,selfish.lie,7,1,1,7,7,2,1,2,1,2,2,2,1,2,5,0,1,0,0,1
77,3/15/19 12:20,3/15/19 12:30,Female,0,62,To trust someone based on their answers,To see if someone would lie to receive more money for themselves ,4,never,prosocial.truth,2,2,2,2,2,6,6,6,5,6,6,6,6,6,3,1,0,0,1,0
78,3/15/19 12:20,3/15/19 12:30,Male,0,36,to earn money buy trying to figure if your partner was trustworthy or not,to see if you where willing to pay to verify or or just trust the partner ,4,never,prosocial.truth,3,3,4,3,3,6,6,5,4,4,4,4,6,6,3,1,0,0,1,0
79,3/15/19 12:21,3/15/19 12:30,Male,2,32,To determine you level of trust with working with another person. ,I think this also is based on trust and not deceiving the other person. ,2,rarely,selfish.lie,2,1,2,2,2,6,6,6,6,5,6,5,6,6,4,1,0,1,0,1
80,3/15/19 12:17,3/15/19 12:30,Male,3,43,The purpose of the coin flip game was basically to see if someone could be persuaded to lie to another person for a small increased amount of compensation. ,"The purpose of the RELY-or-VERIFY game is to then test whether or not I would trust the same person in a game where I had to decide whether or not to trust the information that person was giving to me (after seeing whether or not they were ""truthful"" in the coin flip game). ",2,rarely,selfish.lie,5,6,6,5,5,3,2,1,2,3,3,3,6,6,4,0,0,1,0,1
81,3/15/19 12:23,3/15/19 12:31,Female,1,36,to see if we would trust someone who lied to another player in order to make more money,to see what we would do when we were paired with someone who has lied to another player,3,sometimes,selfish.lie,5,1,3,6,5,2,1,1,1,1,1,1,5,4,4,0,1,0,0,1
82,3/15/19 12:18,3/15/19 12:31,Female,0,44,I see if you were willing to trust what your partner said or if you thought they were lying.,I see how much you trusted your partner or if you needed to check their answer.,3,sometimes,selfish.lie,3,3,2,3,3,5,3,2,2,4,4,3,2,2,3,0,1,0,0,1
83,3/15/19 12:23,3/15/19 12:31,Male,4,22,To examine the social dynamic about whether people will betray their partner for monetary benefit.,To see how much the player trusts their partner,3,sometimes,selfish.lie,3,4,3,5,5,2,2,1,1,1,1,1,1,1,3,0,1,0,0,1
84,3/15/19 12:15,3/15/19 12:31,Female,0,54,To see whether I feel that they are lying or not?  Maybe if they have morals or not?,To see if I feel that they are lying whether I should rely on their word or verify to see if I trust them or not. ,3,sometimes,selfish.lie,7,7,1,7,7,2,1,2,2,1,1,1,1,1,5,0,1,0,0,1
85,3/15/19 12:21,3/15/19 12:31,Female,2,31,dont know,dont know,4,never,prosocial.truth,1,1,1,1,1,6,6,1,7,7,7,7,7,7,4,1,0,0,1,0
86,3/15/19 12:21,3/15/19 12:31,Female,3,23,to determine if someones word can be trusted,trusting a partner to give you an accurate answer to receive money,2,rarely,selfish.lie,7,7,7,7,7,2,1,5,1,1,1,1,7,7,5,0,0,1,0,1
87,3/15/19 12:16,3/15/19 12:31,Female,1,47,To determine if a person feels he can trust other people based on their statements about themselves.,To see if I would trust someone who says lying is hardly ever OK to tell me the truth about the money in the jar.,2,rarely,selfish.lie,4,5,5,4,4,5,6,2,3,2,2,2,4,3,3,0,0,1,0,1
88,3/15/19 12:23,3/15/19 12:31,Female,0,24,To determine how a person with judge information given by someone else,To determine the trust a person has in the word of someone else,2,rarely,selfish.lie,5,5,6,5,5,4,4,2,2,3,4,2,6,6,4,0,0,1,0,1
89,3/15/19 12:20,3/15/19 12:31,Male,2,52,"to learnt he habits of other player, if they will lie for so little payoff.",to test the effects of the first coin-flip game outcome.,3,sometimes,selfish.lie,2,2,1,4,5,5,1,2,2,4,4,4,2,2,4,0,1,0,0,1
90,3/15/19 12:18,3/15/19 12:32,Male,0,23,lying,whether we rust someone,1,never,selfish.lie,7,7,7,7,7,1,1,1,1,1,1,1,6,7,1,0,0,0,1,1
91,3/15/19 12:20,3/15/19 12:32,Male,0,36,To see how peoples honesty relates to their integrity,To see how peoples honesty relates to their integrity,5,rarely,prosocial.truth,2,2,2,2,2,6,4,5,5,5,5,6,6,5,4,1,0,1,0,0
92,3/15/19 12:22,3/15/19 12:32,Male,0,36,A game of trusting strangers based on their answers to a survey.,I'm not sure,3,sometimes,selfish.lie,3,3,2,3,6,3,2,3,2,2,2,2,2,2,4,0,1,0,0,1
93,3/15/19 12:20,3/15/19 12:32,Male,0,37,To give me something more to base the character of the other player on,To see if I didn't trust the other player based of the earlier information,3,sometimes,selfish.lie,3,2,2,6,6,3,2,3,1,2,2,2,2,2,4,0,1,0,0,1
94,3/15/19 12:20,3/15/19 12:32,Female,0,54,predicting peoples reactions to an unknown situation.,if I trust someone that lies.,1,never,selfish.lie,7,7,7,7,7,2,1,1,1,1,1,1,6,5,5,0,0,0,1,1
95,3/15/19 12:15,3/15/19 12:32,Female,0,65,I couldn't tell. It had something to do with ethics vs self interest.,"I couldn't tell. It seemed to have something to do with guessing how a known liar would behave when slightly incentivized to tell the truth, but with a big payout for lying, at some risk of losing entirely.",1,never,selfish.lie,7,7,7,7,7,1,1,1,1,2,2,1,6,6,4,0,0,0,1,1
96,3/15/19 12:22,3/15/19 12:32,Female,1,42,To see who is trusting.,To see who is willing to read really long and complicated instructions just to be paid less than minimum wage.,4,never,prosocial.truth,2,2,2,2,2,6,6,6,6,5,4,6,5,4,4,0,0,0,1,0
97,3/15/19 12:20,3/15/19 12:32,Male,1,19,to see how trusting people are of people they don't know. to see if i would assume a stranger would choose his/her self interest over the interest of someone else.,same as the first game but without any info on the opposing player and how  would that change a persons mindset.,1,never,selfish.lie,6,6,6,5,5,4,2,2,2,2,2,2,5,4,3,1,0,0,1,1
98,3/15/19 12:20,3/15/19 12:32,Female,1,36,This was a study about one's trust in another person.,The RELY-or-VERIFY game was to study a person's trust in information that is provided to them by someone else.,1,never,selfish.lie,2,2,2,3,2,7,6,7,6,6,6,7,5,2,4,1,0,0,1,1
99,3/15/19 12:18,3/15/19 12:32,Female,0,34,So allow a glimpse into the character of the other participant in the Rely-Verify Game.,To look at whether you will trust someone who previously lied or not.,2,rarely,selfish.lie,6,7,7,6,6,2,2,2,1,2,2,1,7,7,4,1,0,1,0,1
100,3/15/19 12:22,3/15/19 12:32,Male,3,36,unsure,unsure,5,rarely,prosocial.truth,1,1,1,1,1,6,3,3,5,4,4,4,4,4,3,0,0,1,0,0
101,3/15/19 12:21,3/15/19 12:32,Male,0,36,To see if you can trust peoples information,to see if the previous info changed your behavior in this game,3,sometimes,selfish.lie,2,3,2,3,5,4,2,2,2,3,4,2,6,6,4,0,1,0,0,1
102,3/15/19 12:21,3/15/19 12:32,Female,2,36,To give you an understanding of how the other person acted in the past,To understand if people would take in to account the past actions of another person on if they should trust them or not. ,4,never,prosocial.truth,1,1,1,1,1,6,7,6,6,6,6,6,6,6,4,1,0,0,1,0
103,3/15/19 12:24,3/15/19 12:32,Male,2,37,don’t know,don’t know,4,never,prosocial.truth,1,1,1,1,1,7,7,6,6,7,6,7,6,6,4,1,0,0,1,0
104,3/15/19 12:16,3/15/19 12:32,Female,2,60,To determine how financial decisions are made with conflicting information available.,To understand how people make financial decisions?,2,rarely,selfish.lie,4,4,4,4,4,6,5,6,3,3,3,3,5,5,4,0,0,1,0,1
105,3/15/19 12:20,3/15/19 12:32,Male,0,40,The purpose for both participants is to make money.  But it is also to test trust and honesty.,To test trust and honesty.,3,sometimes,selfish.lie,4,2,2,2,2,4,2,1,1,1,1,1,2,2,4,0,1,0,0,1
106,3/15/19 12:22,3/15/19 12:32,Female,0,56,"to give receiver an opportunity to increase his/her earnings by a small amount, and decrease partner's earnings by a large amount by lying",give me an opportunity to use information about a person's past behavior in deciding whether to trust him/her,3,sometimes,selfish.lie,2,2,2,2,2,2,1,1,1,2,2,2,3,3,4,0,1,0,0,1
107,3/15/19 12:18,3/15/19 12:32,Prefer not to answer,1,60,TO determine if you will listen to the advice of another player.,To determine if you will listen to the advice of another player. ,5,rarely,prosocial.truth,1,1,1,1,1,7,6,7,6,6,6,6,5,5,4,1,0,1,0,0
108,3/15/19 12:17,3/15/19 12:32,Female,0,36,"To see how trustworthy the other player is, and if they keep their word.",To see if I trust what the other player says.,5,rarely,prosocial.truth,2,2,1,2,2,6,5,5,6,5,5,6,6,5,4,0,0,1,0,0
109,3/15/19 12:20,3/15/19 12:33,Male,1,36,Observe levels of trust in anonymous strangers,Observe levels of trust in anonymous strangers based on supposed past behavior,5,rarely,prosocial.truth,2,2,2,2,2,6,6,5,5,5,5,5,6,6,4,0,0,1,0,0
110,3/15/19 12:20,3/15/19 12:33,Male,1,33,Perception of fairness?,Perception of sharing?,2,rarely,selfish.lie,4,2,2,3,3,5,5,2,4,3,4,2,2,3,4,1,0,1,0,1
111,3/15/19 12:22,3/15/19 12:33,Male,0,35,To see whether player 222 was trustworthy,To validate how much you trusted player 222,6,sometimes,prosocial.truth,1,1,1,1,1,6,6,7,7,7,7,7,4,4,3,0,1,0,0,0
112,3/15/19 12:21,3/15/19 12:33,Male,0,52,CHOICES,CHOICES,3,sometimes,selfish.lie,4,4,6,5,4,6,4,3,2,2,2,2,2,2,4,1,1,0,0,1
113,3/15/19 12:21,3/15/19 12:33,Female,2,25,to determine society's values and morals,To determine how people will act depending on a situation,6,sometimes,prosocial.truth,2,2,2,2,2,6,6,6,6,6,6,7,5,4,4,1,1,0,0,0
114,3/15/19 12:20,3/15/19 12:33,Male,1,45,to test honesty,to test honesty,1,never,selfish.lie,6,6,7,6,6,3,2,1,2,2,2,1,6,6,4,0,0,0,1,1
